radius_L0,path,path_fraction,q_plane_frame,min_eigenvalue_eV_L0sq,status
12.0,GK,0.05,"[1.8520036568128273e-18, -0.13603495231756635, 0.19238247452427965]",0.06690194694258089,corrected +ABC cubic labels; sampled static stability only
12.0,GK,0.1,"[3.7040073136256545e-18, -0.2720699046351327, 0.3847649490485593]",0.27660881900556855,corrected +ABC cubic labels; sampled static stability only
12.0,GK,0.15,"[-1.0702828793724972e-17, -0.40810485695269905, 0.5771474235728389]",0.6544946962001778,corrected +ABC cubic labels; sampled static stability only
12.0,GK,0.2,"[7.408014627251309e-18, -0.5441398092702654, 0.7695298980971186]",1.2377142813490345,corrected +ABC cubic labels; sampled static stability only
12.0,GK,0.25,"[4.851232975115851e-17, -0.6801747615878317, 0.9619123726213982]",2.068562036712267,corrected +ABC cubic labels; sampled static stability only
12.0,GK,0.3,"[-2.1405657587449944e-17, -0.8162097139053981, 1.1542948471456778]",3.187114283214152,corrected +ABC cubic labels; sampled static stability only
12.0,GK,0.35,"[1.9698657536457256e-17, -0.9522446662229644, 1.3466773216699572]",4.624598566303488,corrected +ABC cubic labels; sampled static stability only
12.0,GK,0.39999999999999997,"[-5.02193298021512e-17, -1.0882796185405308, 1.539059796194237]",6.398813385359055,corrected +ABC cubic labels; sampled static stability only
12.0,GK,0.44999999999999996,"[-9.115014678243998e-18, -1.2243145708580971, 1.7314422707185164]",8.512489470903393,corrected +ABC cubic labels; sampled static stability only
12.0,GK,0.49999999999999994,"[3.19893004456632e-17, -1.3603495231756633, 1.9238247452427961]",10.954880241892848,corrected +ABC cubic labels; sampled static stability only
12.0,GK,0.5499999999999999,"[-8.391563029880709e-17, -1.4963844754932298, 2.116207219767076]",13.70617023194472,corrected +ABC cubic labels; sampled static stability only
12.0,GK,0.6,"[-4.281131517489989e-17, -1.6324194278107962, 2.3085896942913555]",16.743599612060645,corrected +ABC cubic labels; sampled static stability only
12.0,GK,0.65,"[-9.368088686271636e-17, -1.7684543801283628, 2.5009721688156357]",20.047690752425886,corrected +ABC cubic labels; sampled static stability only
12.0,GK,0.7,"[3.939731507291451e-17, -1.9044893324459289, 2.6933546433399145]",23.60670751861808,corrected +ABC cubic labels; sampled static stability only
12.0,GK,0.75,"[8.050163019682171e-17, -2.040524284763495, 2.885737117864194]",27.41760619264442,corrected +ABC cubic labels; sampled static stability only
12.0,GK,0.7999999999999999,"[-1.004386596043024e-16, -2.1765592370810616, 3.078119592388474]",31.48229781209752,corrected +ABC cubic labels; sampled static stability only
12.0,GK,0.85,"[1.6271026044463611e-16, -2.3125941893986277, 3.2705020669127536]",35.79899623708221,corrected +ABC cubic labels; sampled static stability only
12.0,GK,0.9,"[1.1184068875681964e-16, -2.4486291417161943, 3.4628845414370337]",40.34968110131587,corrected +ABC cubic labels; sampled static stability only
12.0,GK,0.95,"[-1.991703191576121e-16, -2.5846640940337604, 3.6552670159613125]",45.08600303583931,corrected +ABC cubic labels; sampled static stability only
12.0,GK,1.0,"[1.9404931900463404e-16, -2.720699046351327, 3.8476494904855927]",49.916967114866175,corrected +ABC cubic labels; sampled static stability only
20.0,GX,0.05,"[0.15707963267948966, -0.09068996821171091, 0.12825498301618643]",0.2522256116817319,corrected +ABC cubic labels; sampled static stability only
20.0,GX,0.1,"[0.3141592653589793, -0.18137993642342182, 0.25650996603237286]",1.0111643761715614,corrected +ABC cubic labels; sampled static stability only
20.0,GX,0.15,"[0.47123889803846886, -0.2720699046351327, 0.38476494904855923]",2.2834825800147938,corrected +ABC cubic labels; sampled static stability only
20.0,GX,0.2,"[0.6283185307179586, -0.36275987284684363, 0.5130199320647457]",3.6587873941373155,corrected +ABC cubic labels; sampled static stability only
20.0,GX,0.25,"[0.7853981633974482, -0.4534498410585545, 0.6412749150809322]",5.53497548168493,corrected +ABC cubic labels; sampled static stability only
20.0,GX,0.3,"[0.9424777960769377, -0.5441398092702654, 0.7695298980971185]",9.058480920005863,corrected +ABC cubic labels; sampled static stability only
20.0,GX,0.35,"[1.0995574287564274, -0.6348297774819763, 0.8977848811133049]",12.741668634151392,corrected +ABC cubic labels; sampled static stability only
20.0,GX,0.39999999999999997,"[1.256637061435917, -0.7255197456936872, 1.0260398641294912]",16.748747794081495,corrected +ABC cubic labels; sampled static stability only
20.0,GX,0.44999999999999996,"[1.4137166941154067, -0.8162097139053981, 1.1542948471456778]",21.30360873311186,corrected +ABC cubic labels; sampled static stability only
20.0,GX,0.49999999999999994,"[1.5707963267948961, -0.9068996821171088, 1.282549830161864]",26.367315941039816,corrected +ABC cubic labels; sampled static stability only
20.0,GX,0.5499999999999999,"[1.7278759594743858, -0.9975896503288197, 1.4108048131780504]",31.867816634548458,corrected +ABC cubic labels; sampled static stability only
20.0,GX,0.6,"[1.8849555921538754, -1.0882796185405308, 1.539059796194237]",37.69249699286994,corrected +ABC cubic labels; sampled static stability only
20.0,GX,0.65,"[2.0420352248333655, -1.1789695867522418, 1.6673147792104237]",43.683872457343384,corrected +ABC cubic labels; sampled static stability only
