candidate,a_over_h,opening_angstrom,energy_J_m2,normal_traction_GPa,registry_curvature
Mishin_source_rigid,1.82,1.9173802439787475,1.3879642518894304,4.877619832532674,0.008067320076784783
Mishin_source_rigid,1.85,1.987528301685287,1.4224360125606585,4.947348971253153,-0.008246038800138378
Mishin_source_rigid,1.88,2.057676359391826,1.4573791279563533,5.015692936508018,-0.011123819804072727
Mishin_source_rigid,1.9100000000000001,2.127824417098366,1.4925906444436745,5.004419123236785,-0.009301640403702975
Mishin_source_rigid,1.94,2.197972474804905,1.5273522285815933,4.890457779734914,-0.005043832643059051
Mishin_source_rigid,1.97,2.268120532511445,1.5609535062567192,4.672873076420867,-0.00435354806272849
Mishin_source_rigid,2.0,2.3382685902179845,1.5927120330000084,4.37078698724459,0.0007315493519694173
Mishin_source_rigid,3.0,4.676537180435969,1.7412853086487758,0.0,0.0
Mishin_source_rigid,5.0,9.353074360871938,1.7412853086487758,0.0,0.0
Mishin_source_rigid,20.0,44.42710321414171,1.7412853086487758,0.0,0.0
Mishin_source_rigid,100.0,231.48859043158046,1.7412853086487758,0.0,0.0
