cycle,segment,period_model,same_phase_L1,normal_mean,normal_amplitude,registry_shear_amplitude,registry_index_increment,cycle_net_transfer,cycle_gross_grid_traffic,external_work_ev_cell,raw_mass,mass_residual,mean_well_index,outside_central_mass,normal_strain,registry_shear,intrawell_shear,registry_index_shear,cumulative_net_transfer,cumulative_gross_grid_traffic,outer_well_mass,upper_normal_edge_mass,P_-3,P_-2,P_-1,P_+0,P_+1,P_+2,P_+3
31,zero_stress_hold,40.0,0.00260610147069553,0.018402165056425335,4.753142324176451e-16,2.2121339685231688e-16,-3.6407932468896034e-16,-2.1196364230328425e-17,0.016706209369420133,0.0,0.9999999999938254,-6.174616373755271e-12,-7.059584240473295e-15,0.04186053050717643,0.018402165056425394,-8.8998998454739e-15,-2.5345057879556505e-16,-8.646189592676554e-15,-6.355531725221351e-16,0.5178929482814939,2.7285338042173423e-06,1.0576887428332878e-11,1.3642669021091593e-06,0.00021160441820511957,0.02071729656848448,0.958139469486649,0.020717296568477567,0.00021160441820504815,1.3642669021081833e-06
32,zero_stress_hold,40.0,0.002600716479856758,0.01840216505642534,2.723515857283587e-16,2.92709786643471e-16,-4.852753398818735e-16,-9.782595266076728e-18,0.016706207221457325,0.0,0.9999999999936237,-6.3763438973296616e-12,-7.544859580355168e-15,0.04316084039617241,0.01840216505642512,-9.488866805523782e-15,-2.508818485577622e-16,-9.240528076409689e-15,-6.453357677882118e-16,0.5345991555029512,3.0129788693491073e-06,1.0576887428330749e-11,1.5064894346751089e-06,0.00022551080164107015,0.021353402907014193,0.9568391595974514,0.021353402907006807,0.00022551080164099198,1.5064894346739984e-06
33,zero_stress_hold,40.0,0.0025953438969661346,0.018402165056425338,3.400058012914542e-16,2.885741945013499e-16,-4.814670797512051e-16,-1.3321075403231568e-17,0.016706204923211287,0.0,0.99999999999342,-6.579958800045915e-12,-8.026326660106373e-15,0.04445846401783729,0.018402165056425394,-1.0067286786667075e-14,-2.3217890152158564e-16,-9.830202413078863e-15,-6.586568431914434e-16,0.5513053604261625,3.316285960440368e-06,1.0576887428328597e-11,1.6581429802208146e-06,0.00023983952250888096,0.021987734343433513,0.9555415359755828,0.021987734343425658,0.00023983952250879626,1.6581429802195532e-06
34,zero_stress_hold,40.0,0.0025899836919594512,0.01840216505642533,4.0766001685454967e-16,3.379739152585148e-16,-5.889648781211344e-16,-8.129822227746775e-18,0.01670620246985599,0.0,0.9999999999932148,-6.785239037299107e-12,-8.615291538227508e-15,0.04575340756114476,0.018402165056425394,-1.0756432151195296e-14,-2.0597419626312746e-16,-1.0551534126987495e-14,-6.667866654191902e-16,0.5680115628960185,3.639028474670967e-06,1.0576887428326437e-11,1.8195142373361975e-06,0.0002545887697076634,0.02262029549663164,0.95424659243207,0.022620295496623213,0.00025458876970757137,1.8195142373347692e-06
35,zero_stress_hold,40.0,0.0025846358348481685,0.01840216505642533,3.400058012914542e-16,3.235316966501665e-16,-5.466606646034167e-16,-2.2423714970899906e-17,0.016706199856587944,0.0,0.999999999993009,-6.990963363762148e-12,-9.161952202830924e-15,0.04704567720007442,0.018402165056425255,-1.1411054554189474e-14,-1.8522011638139557e-16,-1.1221053972352047e-14,-6.892103803900901e-16,0.5847177627526065,3.981776897751704e-06,1.0576887428324253e-11,1.990888448876655e-06,0.0002697567380530205,0.02325109097353984,0.9529543227929346,0.023251090973530883,0.00026975673805292066,1.9908884488750484e-06
36,zero_stress_hold,40.0,0.0025793002957167437,0.018402165056425335,3.400058012914542e-16,3.330769368985697e-16,-5.295277291793766e-16,-1.8190456058759727e-17,0.016706197078631746,0.0,0.9999999999928062,-7.193801110361164e-12,-9.691479932010301e-15,0.04833527909364918,0.01840216505642553,-1.207099738895374e-14,-1.9709535536331737e-16,-1.1869590342924122e-14,-7.074008364488498e-16,0.6014239598312382,4.34509881415433e-06,1.0576887428322105e-11,2.172549407078067e-06,0.00028534162825953206,0.02388012536916277,0.9516647208991572,0.0238801253691533,0.0002853416282594239,2.1725494070762627e-06
37,zero_stress_hold,40.0,0.002573977044734388,0.018402165056425314,3.400058012914542e-16,4.025993504141007e-16,-6.462886798606319e-16,-1.794312243816147e-17,0.0167061941312312,0.0,0.9999999999926023,-7.397749079984806e-12,-1.0337768611870933e-14,0.04962221938597225,0.018402165056425394,-1.2876359091140419e-14,-2.1604124833834682e-16,-1.2661129089021872e-14,-7.253439588870113e-16,0.6181301539624694,4.729558917310104e-06,1.0576887428319949e-11,2.364779458656058e-06,0.00030134164692328886,0.024507403266609287,0.95037778060663,0.02450740326659919,0.0003013416469231718,2.3647794586540463e-06
38,zero_stress_hold,40.0,0.0025686660521326513,0.018402165056425335,3.400058012914542e-16,3.828528445618775e-16,-6.330868243448968e-16,-1.813963408192447e-17,0.01670619100965931,0.0,0.9999999999923975,-7.602474205725684e-12,-1.097085543621583e-14,0.05090650420626509,0.01840216505642512,-1.3650727842118436e-14,-2.1265744647096904e-16,-1.3436498930283872e-14,-7.4348359296893575e-16,0.6348363449721287,5.135719019777072e-06,1.0576887428317785e-11,2.5678595098896514e-06,0.0003177550065044777,0.025132929237123597,0.9490934957861323,0.025132929237112887,0.0003177550065043504,2.5678595098874203e-06
39,zero_stress_hold,40.0,0.0025633672882224455,0.018402165056425328,3.400058012914542e-16,3.766223542930518e-16,-6.24571602126367e-16,-1.9118380652476813e-17,0.016706187709210396,0.0,0.9999999999921906,-7.809419777515814e-12,-1.1595427038342197e-14,0.052188139668903316,0.01840216505642512,-1.4395507632108672e-14,-1.9775929088859554e-16,-1.4201439796804968e-14,-7.626019736214126e-16,0.6515425326813391,5.5641380633760745e-06,1.0576887428315593e-11,2.782069031689273e-06,0.0003345799253100112,0.025756707840115682,0.9478118603232871,0.02575670784010437,0.0003345799253098728,2.7820690316868014e-06
40,zero_stress_hold,40.0,0.002558080723383072,0.01840216505642531,3.400058012914542e-16,3.975819040655431e-16,-6.348952396878148e-16,-1.0075456907589903e-17,0.016706184225202425,0.0,0.9999999999919861,-8.013922858651767e-12,-1.2230322278030011e-14,0.05346713187345502,0.018402165056425255,-1.518450902929713e-14,-2.0340157577830466e-16,-1.4979024485483554e-14,-7.726774305290025e-16,0.6682487169065415,6.015372129295684e-06,1.0576887428313427e-11,3.0076860646492112e-06,0.00035181462747621377,0.02637874362319268,0.946532868118531,0.026378743623180757,0.00035181462747606464,3.0076860646464728e-06
