index,eigenvalue
627,16.6265245565167
628,16.63182466105581
629,16.637634304789106
630,16.670062661690178
631,16.6794550092809
632,16.67964209977325
633,16.71131210992558
634,16.71361997476536
635,16.729229089734694
636,16.733517051761535
637,16.750637259482954
638,16.76814824637159
639,16.774639092161518
640,16.787849641480392
641,16.80376198791116
642,16.814817250650908
643,16.83899774813198
644,16.848165831877953
645,16.856461393819338
646,16.894599893571847
647,16.898118516392984
648,16.92952814877572
649,16.957730254386302
650,16.96159210368933
651,16.998976314106226
652,17.0035358143088
653,17.00554101678331
654,17.024228466099213
655,17.04884336440975
656,17.054979574651316
657,17.061259267557688
658,17.079350883708308
659,17.090975636314518
660,17.113428679148857
661,17.11855448407453
662,17.125732694560586
663,17.129688493542012
664,17.146966964987502
665,17.17147173033293
666,17.177104536695335
667,17.18492116080307
668,17.19517804008029
669,17.20012252388962
670,17.202589013520015
671,17.210023458713625
672,17.268355646775202
673,17.28507868769443
674,17.289041775651295
675,17.31134826114186
676,17.318302107255075
677,17.323519177554008
678,17.330292986215667
679,17.344956697238853
680,17.3686357711796
681,17.373189309609316
682,17.385402612355534
683,17.400579779903566
684,17.409561683795452
685,17.42958704353929
686,17.438849270082983
687,17.454772641426224
688,17.49485952260376
689,17.496676509182944
690,17.50139490310785
691,17.53240241936846
692,17.559619661778388
693,17.57304704990383
694,17.59126940301947
695,17.600369050502596
696,17.610925376255494
697,17.62326191378013
698,17.633407504362598
699,17.66648379479124
700,17.671376711263722
701,17.680409535803808
702,17.69603148480121
703,17.71148018440785
704,17.71360221519343
705,17.720333009135853
706,17.756679342713934
707,17.75691471250631
708,17.79054230476083
709,17.79561475070052
710,17.80801590288882
711,17.827723906842962
712,17.843151298407776
713,17.859427591410284
714,17.868565298089592
715,17.89256990017638
716,17.912386432838947
717,17.923420436720924
718,17.93043712372687
719,17.947665791296263
720,17.949171893207716
721,17.9937843026465
722,17.995090044533505
723,18.01434126733374
724,18.017928068018158
725,18.024913864904384
726,18.03391741624904
727,18.047566528923785
728,18.076427332228025
729,18.08249619191136
