model,role,order,radius_A,reference,prediction,error
LJ_only,excluded,0,3.475,-0.05861878896828662,-0.018696282975951228,0.03992250599233539
LJ_only,excluded,0,3.725,-0.05016368373657208,-0.013435032994546112,0.03672865074202597
LJ_only,excluded,0,3.975,-0.05388149827260093,-0.009568495525092926,0.044313002747508004
LJ_only,excluded,0,4.225,-0.05489701651067258,-0.006845560457679342,0.04805145605299324
LJ_only,excluded,0,4.475,-0.04946974228890929,-0.004946525739233979,0.04452321654967531
LJ_only,excluded,0,4.725,-0.037191631962907284,-0.003617613764219656,0.033574018198687626
LJ_only,excluded,0,4.975,-0.0193379638813844,-0.0026792570271285112,0.016658706854255887
LJ_only,excluded,0,5.225,-0.0036269154103260835,-0.002009108980306122,0.0016178064300199613
LJ_only,excluded,0,5.475,0.004006882575746419,-0.0015246527464705185,-0.005531535322216938
LJ_only,excluded,0,5.725,0.003739392962530044,-0.0011701357596114476,-0.004909528722141492
LJ_only,excluded,0,5.975,0.0002463954613845509,-0.0009076106483631393,-0.0011540061097476903
LJ_only,excluded,1,2.225,-2.5638026529466194,-4.6954315509841065,-2.131628898037487
LJ_only,excluded,1,2.475,-1.3571658179521564,-0.9688978553758648,0.3882679625762916
LJ_only,excluded,1,2.725,-0.4447758033944891,-0.17912011347173298,0.2656556899227561
LJ_only,excluded,1,2.975,-0.10107145675427381,-0.00763650482725889,0.09343495192701493
LJ_only,excluded,1,3.225,0.01788669282734586,0.023747277095895296,0.005860584268549435
LJ_only,excluded,1,3.475,0.04274855167246687,0.02373770363184912,-0.01901084804061775
LJ_only,excluded,1,3.725,0.006235054796434932,0.01817762632441109,0.011942571527976158
LJ_only,excluded,1,3.975,-0.019338859146711344,0.01295477151437619,0.032293630661087536
LJ_only,excluded,1,4.225,0.009809885345139862,0.009048050940673171,-0.0007618344044666905
LJ_only,excluded,1,4.475,0.034447026401063126,0.006313245835433774,-0.028133780565629353
LJ_only,excluded,1,4.725,0.06420445551602848,0.004436457732763806,-0.05976799778326467
LJ_only,excluded,1,4.975,0.07273317662722455,0.003150774044035005,-0.06958240258318954
LJ_only,excluded,1,5.225,0.0480051126804229,0.0022645574124554473,-0.045740555267967456
LJ_only,excluded,1,5.475,0.013818761411382234,0.0016476750553767597,-0.012171086356005474
LJ_only,excluded,1,5.725,-0.013761038968051082,0.0012133721232877384,0.01497441109133882
LJ_only,excluded,1,5.975,-0.0066129403580931015,0.0009039666384958753,0.0075169069965889766
LJ_only,excluded,2,2.225,3.287781142069527,29.929271862388266,26.64149072031874
LJ_only,excluded,2,2.475,5.0216860947091515,6.153694317815042,1.13200822310589
LJ_only,excluded,2,2.725,2.277363582517566,1.3474976940787338,-0.9298658884388322
LJ_only,excluded,2,2.975,0.8748273682851495,0.27763690969551114,-0.5971904585896384
