model,a_over_h,energy_J_m2,source_energy_J_m2,traction_MPa,source_traction_MPa,Haa,source_Haa,rank1_Haa
positive_pair_refinement,1.0875,0.11000400179316551,0.09987001986137375,9386.351366620058,9113.872941564587,6.788834018706034,12.40229238753489,6.0377395934028355
positive_pair_refinement,1.09,0.11552138209154028,0.10525551078175867,9487.992303811605,9311.050757093697,5.870256552748009,12.14775310043687,5.87199314294214
positive_pair_refinement,1.0925,0.12109401901700252,0.11075507559714316,9575.67994382772,9503.827650811925,5.054964671189027,11.833863144277403,5.708513814690288
positive_pair_refinement,1.095,0.12671425462675515,0.11636583551144018,9651.1380686676,9691.680753349918,4.349536164444042,11.545874277606002,5.547290776492606
positive_pair_refinement,1.0975,0.13237545815474094,0.1220850144067069,9716.13861717119,9874.656928340562,3.753616736765054,11.200304319656484,5.388312770650938
positive_pair_refinement,1.1,0.13807202390274495,0.12790959585852854,9772.40230811456,10052.335279707442,3.261464182439437,10.87495144593413,5.231568129952476
positive_pair_refinement,1.1025,0.14379931857316305,0.13383650812140435,9821.525330850627,10224.737639734942,2.8636026893014104,10.562978825703706,5.077044793391634
positive_pair_refinement,1.105,0.14955359341798774,0.13986251183267692,9864.931976377748,10391.31721649631,2.548365493058853,10.226445176534147,4.924730321589661
positive_pair_refinement,1.1075,0.1553318755982918,0.1459843412766904,9903.850214463706,10552.433294699978,2.3031908891225057,9.78917026367727,4.774611911910693
positive_pair_refinement,1.1099999999999999,0.1611318508919109,0.1521985881210682,9939.305697171318,10707.942542350951,2.1156141472820984,9.535250471914647,4.626676413280389
positive_pair_refinement,1.1125,0.16695174707291485,0.15850258378269305,9972.12923915555,10859.47370980387,1.97395561281039,9.285155706079859,4.480910340706022
positive_pair_refinement,1.115,0.17279022446000603,0.16489395359423395,10002.973145756287,11006.942484197885,1.867741088190609,9.062570427103646,4.337299889502515
positive_pair_refinement,1.1175,0.17864627762684665,0.17137038258988616,10032.33249845501,11150.34514575894,1.787907529587771,8.782580661261989,4.195830949226476
positive_pair_refinement,1.1199999999999999,0.1845191502522337,0.17792931084724412,10060.568401032177,11289.218299930893,1.726850384505214,8.510056509324665,4.056489117320716
positive_pair_refinement,1.1225,0.19040826359528543,0.1845681600681231,10087.93106281034,11423.76074526546,1.6783638482841923,8.233857602915021,3.9192597124714648
positive_pair_refinement,1.125,0.19631315806740135,0.19128427300528744,10114.581349920622,11553.430647723415,1.6375162361815894,7.9051062552873415,3.784127787682074
positive_pair_refinement,1.1275,0.2022334467542815,0.19807470838442057,10140.61003252472,11678.142328731337,1.6004925379208594,7.614409019245029,3.6510781430651247
positive_pair_refinement,1.13,0.20816877942638568,0.20493664252802837,10166.054394140365,11797.917332711228,1.5644268099386731,7.288813600261051,3.520095338355623
positive_pair_refinement,1.1325,0.21411881547343734,0.21186703722604538,10190.912168013374,11912.300020621931,1.5272392099143686,6.945802461905725,3.391163705149855
positive_pair_refinement,1.135,0.22008320423833228,0.21886276533682072,10215.152952447697,12021.47137554333,1.4874864226639477,6.593412468349038,3.2642673588705846
positive_pair_refinement,1.1375,0.22606157134802313,0.22592066376179507,10238.727360430988,12124.999049998165,1.4442298537247282,6.245362665151431,3.1393902104627927
