grid,s_reduced,fixed_domain_F_minus_F0_ev,conditional_a_over_h,sampled_min_a_over_h
grid_a61_s25_upper2.npz,0.32000000000000006,0.14281919864571202,1.092783064936941,1.0729508196721311
grid_a61_s25_upper2.npz,0.3600000000000001,0.15940495785778264,1.10338876920083,1.0942622950819672
grid_a61_s25_upper2.npz,0.4,0.1721813561313288,1.111800028232696,1.0942622950819672
grid_a61_s25_upper2.npz,0.43999999999999995,0.18083473112167228,1.1176306034185954,1.0942622950819672
grid_a61_s25_upper2.npz,0.48,0.18519705608824077,1.1206140924231498,1.0942622950819672
grid_a61_s49_upper2.npz,-0.489795918367347,0.1856015131972434,1.120892270825717,1.0942622950819672
grid_a61_s49_upper2.npz,-0.4693877551020409,0.1844633085568492,1.120110117615704,1.0942622950819672
grid_a61_s49_upper2.npz,-0.44897959183673486,0.1821913505612485,1.1185551561462315,1.0942622950819672
grid_a61_s49_upper2.npz,-0.4285714285714287,0.17879500001376414,1.1162459502163289,1.0942622950819672
grid_a61_s49_upper2.npz,-0.40816326530612257,0.17428943584102072,1.1132100426138123,1.0942622950819672
grid_a61_s49_upper2.npz,-0.3877551020408164,0.1686969970741852,1.109483626262078,1.0942622950819672
grid_a61_s49_upper2.npz,-0.3673469387755103,0.1620489295577137,1.105111163182425,1.0942622950819672
grid_a61_s49_upper2.npz,-0.34693877551020413,0.15438749336363364,1.100144998439696,1.0942622950819672
grid_a61_s49_upper2.npz,-0.326530612244898,0.14576836660293005,1.0946450227172437,1.0729508196721311
grid_a61_s49_upper2.npz,-0.30612244897959184,0.13626325491090888,1.0886784370013363,1.0729508196721311
grid_a61_s49_upper2.npz,-0.2857142857142858,0.125962582131685,1.0823196632526173,1.0729508196721311
grid_a61_s49_upper2.npz,-0.2653061224489798,0.11497809564507655,1.0756504236443438,1.0516393442622949
grid_a61_s49_upper2.npz,-0.24489795918367363,0.10344516912655322,1.068759976660273,1.0516393442622949
grid_a61_s49_upper2.npz,-0.22448979591836749,0.09152452783063555,1.0617454510634545,1.0516393442622949
