occupation,charge_rate,time_model,survival,projected_hard_basin_limit_survival,difference_from_limit,MFPT_model,hard_basin_limit_MFPT_model,boundary_charge_rate,spatial_rate
0.2,1.0,8.0,0.6686478928972969,0.344831136903223,0.3238167559940739,16.69480519480519,7.5,0.2,0.4
0.2,1.0,20.0,0.2967202019244048,0.05513208658858152,0.24158811533582328,16.69480519480519,7.5,0.2,0.4
0.2,10.0,0.0,1.0,1.0,0.0,8.65549450549451,7.5,2.0,0.4
0.2,10.0,0.2,0.9991222981218071,0.9970429006656347,0.0020793974561723605,8.65549450549451,7.5,2.0,0.4
0.2,10.0,2.0,0.8894214251136805,0.8415099111074295,0.047911514006251044,8.65549450549451,7.5,2.0,0.4
0.2,10.0,8.0,0.4070895578536682,0.344831136903223,0.062258420950445204,8.65549450549451,7.5,2.0,0.4
0.2,10.0,20.0,0.07923907125533766,0.05513208658858152,0.02410698466675614,8.65549450549451,7.5,2.0,0.4
0.2,100.0,0.0,1.0,1.0,0.0,7.6195238020251,7.5,20.0,0.4
0.2,100.0,0.2,0.9979354500106904,0.9970429006656347,0.000892549345055671,7.6195238020251,7.5,20.0,0.4
0.2,100.0,2.0,0.8477198236280975,0.8415099111074295,0.006209912520668048,7.6195238020251,7.5,20.0,0.4
0.2,100.0,8.0,0.35136721904226653,0.344831136903223,0.006536082139043553,7.6195238020251,7.5,20.0,0.4
0.2,100.0,20.0,0.05737387437435254,0.05513208658858152,0.0022417877857710197,7.6195238020251,7.5,20.0,0.4
0.2,1000.0,0.0,1.0,1.0,0.0,7.511995203835709,7.5,200.0,0.4
0.2,1000.0,0.2,0.9971582293193884,0.9970429006656347,0.00011532865375363244,7.511995203835709,7.5,200.0,0.4
0.2,1000.0,2.0,0.842145219144091,0.8415099111074295,0.0006353080366615638,7.511995203835709,7.5,200.0,0.4
0.2,1000.0,8.0,0.34548724119155144,0.344831136903223,0.0006561042883284629,7.511995203835709,7.5,200.0,0.4
0.2,1000.0,20.0,0.055354309771682514,0.05513208658858152,0.00022222318310099326,7.511995203835709,7.5,200.0,0.4
0.2,10000.0,0.0,1.0,1.0,0.0,7.50119995200814,7.5,2000.0,0.4
0.2,10000.0,0.2,0.9970546995977142,0.9970429006656347,1.1798932079476465e-05,7.50119995200814,7.5,2000.0,0.4
0.2,10000.0,2.0,0.8415735846131611,0.8415099111074295,6.367350573166508e-05,7.50119995200814,7.5,2000.0,0.4
0.2,10000.0,8.0,0.3448967715462081,0.344831136903223,6.563464298514621e-05,7.50119995200814,7.5,2000.0,0.4
0.2,10000.0,20.0,0.05515428910196985,0.05513208658858152,2.220251338833079e-05,7.50119995200814,7.5,2000.0,0.4
0.2,100000.0,0.0,1.0,1.0,0.0,7.5001199994358565,7.5,20000.0,0.4
0.2,100000.0,0.2,0.9970440832199238,0.9970429006656347,1.182554289047566e-06,7.5001199994358565,7.5,20000.0,0.4
0.2,100000.0,2.0,0.841516279891273,0.8415099111074295,6.3687838435244615e-06,7.5001199994358565,7.5,20000.0,0.4
0.2,100000.0,8.0,0.34483770061959795,0.344831136903223,6.563716374974327e-06,7.5001199994358565,7.5,20000.0,0.4
