occupation,charge_rate,intervals,diffusion,length,mean_time_numerical,mean_time_discrete_exact,mean_time_continuum_exact,fast_absorbing_mean_time,discrete_formula_relative_error,linear_system_max_residual,continuum_relative_error,excess_over_fast_boundary,continuum_excess,charge_to_grid_rate_ratio,cells_across_charge_boundary_layer
0.8,0.01,128,0.4,1.0,26.457983704381355,26.457983704005738,26.457986935769082,1.25,1.4196764323415622e-11,3.8174519101374926e-10,-1.2213278864082328e-07,25.207983704381355,25.207986935769082,1.5258789062499999e-06,809.5430810031052
0.8,0.01,256,0.4,1.0,26.457986121471784,26.45798612782807,26.457986935769082,1.25,2.4024080705632293e-10,1.6809769132208885e-09,-3.077699373017328e-08,25.207986121471784,25.207986935769082,3.8146972656249997e-07,1619.0861620062103
0.8,0.01,512,0.4,1.0,26.457986726689168,26.45798673378382,26.457986935769082,1.25,2.68147839380165e-10,5.655112600422285e-09,-7.90233643920962e-09,25.207986726689168,25.207986935769082,9.536743164062499e-08,3238.1723240124206
0.8,0.01,1024,0.4,1.0,26.45798677437059,26.457986885272764,26.457986935769082,1.25,4.191633136556793e-09,2.5388185331820523e-08,-6.100180379734162e-09,25.20798677437059,25.207986935769082,2.3841857910156248e-08,6476.344648024841
0.8,1.0,8,0.4,1.0,1.6783291496971104,1.6783291496971104,1.680228016936355,1.25,0.0,1.4210854715202004e-14,-0.0011301247331340753,0.42832914969711045,0.43022801693635504,0.0390625,5.059644256269407
0.8,1.0,16,0.4,1.0,1.6797506701722624,1.6797506701722664,1.680228016936355,1.25,2.3794024670582047e-15,8.570921750106208e-14,-0.0002840964198198425,0.42975067017226243,0.43022801693635504,0.009765625,10.119288512538814
0.8,1.0,32,0.4,1.0,1.6801085146151036,1.6801085146151127,1.680228016936355,1.25,5.418595717319981e-15,4.547473508864641e-13,-7.1122680997403e-05,0.4301085146151036,0.43022801693635504,0.00244140625,20.23857702507763
0.8,1.0,64,0.4,1.0,1.6801981309842822,1.6801981309843326,1.680228016936355,1.25,2.999891762077678e-14,1.2403411631112249e-12,-1.7786843078217938e-05,0.43019813098428217,0.43022801693635504,0.0006103515625,40.47715405015526
0.8,1.0,128,0.4,1.0,1.6802205447995264,1.6802205447998069,1.680228016936355,1.25,1.6690805078432628e-13,7.176925720386862e-12,-4.447096913808573e-06,0.4302205447995264,0.43022801693635504,0.000152587890625,80.95430810031051
0.8,1.0,256,0.4,1.0,1.6802261488616046,1.6802261488616792,1.680228016936355,1.25,4.44029437973902e-14,2.740896398734094e-11,-1.1117983580884415e-06,0.4302261488616046,0.43022801693635504,3.814697265625e-05,161.90861620062103
0.8,1.0,512,0.4,1.0,1.6802275499087955,1.6802275499151522,1.680228016936355,1.25,3.783233378190231e-12,1.0385181603567162e-10,-2.7795486970023065e-07,0.4302275499087955,0.43022801693635504,9.5367431640625e-06,323.81723240124205
0.8,1.0,1024,0.4,1.0,1.6802279001771632,1.680227900180896,1.680228016936355,1.25,2.221598542074455e-12,5.04204455964441e-10,-6.949008747240076e-08,0.43022790017716317,0.43022801693635504,2.384185791015625e-06,647.6344648024841
0.8,100.0,8,0.4,1.0,1.2781160778558178,1.278116077855818,1.2895284707521062,1.25,1.7372804299397895e-16,2.842170943040401e-14,-0.008850051127318029,0.028116077855817823,0.03952847075210619,3.90625,0.5059644256269407
0.8,100.0,16,0.4,1.0,1.2854384955969151,1.285438495596921,1.2895284707521062,1.25,4.4911987215459295e-15,5.684341886080802e-14,-0.003171682710351954,0.03543849559691514,0.03952847075210619,0.9765625,1.0119288512538813
0.8,100.0,32,0.4,1.0,1.2883747117223048,1.2883747117223054,1.2895284707521062,1.25,5.170342204905614e-16,2.6290081223123707e-13,-0.0008947138864863493,0.03837471172230478,0.03952847075210619,0.244140625,2.0238577025077626
0.8,100.0,64,0.4,1.0,1.2892303004358174,1.289230300435834,1.2895284707521062,1.25,1.2917277358240463e-14,9.094947017729282e-13,-0.0002312242986886937,0.03923030043581743,0.03952847075210619,0.06103515625,4.047715405015525
0.8,100.0,128,0.4,1.0,1.2894532911995984,1.2894532911996397,1.2895284707521062,1.25,3.202930792291995e-14,3.637978807091713e-12,-5.830003308414761e-05,0.039453291199598395,0.03952847075210619,0.0152587890625,8.09543081003105
0.8,100.0,256,0.4,1.0,1.2895096355791833,1.2895096355793398,1.2895284707521062,1.25,1.213961044981393e-13,1.4864554032101296e-11,-1.4606248214052692e-05,0.0395096355791833,0.03952847075210619,0.003814697265625,16.1908616200621
0.8,100.0,512,0.4,1.0,1.2895237594325761,1.2895237594336235,1.2895284707521062,1.25,8.122257490559136e-13,7.699441084696446e-11,-3.653521141190329e-06,0.03952375943257613,0.03952847075210619,0.00095367431640625,32.3817232401242
0.8,100.0,1024,0.4,1.0,1.2895272927585655,1.2895272927645371,1.2895284707521062,1.25,4.63089663814056e-12,3.4924596548080444e-10,-9.135071985079661e-07,0.03952729275856548,0.03952847075210619,0.0002384185791015625,64.7634464802484
0.8,10000.0,8,0.4,1.0,1.2503979675958539,1.2503979675956138,1.2539528470752104,1.25,1.9196305827776748e-13,3.637978807091713e-12,-0.002834938720102681,0.0003979675958538653,0.003952847075210375,390.625,0.05059644256269407
0.8,10000.0,16,0.4,1.0,1.2507841027305777,1.2507841027304603,1.2539528470752104,1.25,9.391036850318375e-14,1.8189894035458565e-12,-0.002527004386188534,0.0007841027305777182,0.003952847075210375,97.65625,0.10119288512538814
0.8,10000.0,32,0.4,1.0,1.251483109930489,1.2514831099309771,1.2539528470752104,1.25,3.899805261072492e-13,5.4569682106375694e-12,-0.0019695614157118194,0.0014831099304890571,0.003952847075210375,24.4140625,0.20238577025077628
0.8,10000.0,64,0.4,1.0,1.2524871601464658,1.252487160145742,1.2539528470752104,1.25,5.779423814383627e-13,3.637978807091713e-12,-0.0011688533043034694,0.002487160146465772,0.003952847075210375,6.103515625,0.40477154050155256
0.8,10000.0,128,0.4,1.0,1.2533630964829479,1.2533630964831965,1.2539528470752104,1.25,1.9841812656989233e-13,7.275957614183426e-12,-0.0004703132128437557,0.0033630964829478582,0.003952847075210375,1.52587890625,0.8095430810031051
0.8,10000.0,256,0.4,1.0,1.2537768531664306,1.2537768531666333,1.2539528470752104,1.25,1.6169282738354252e-13,2.1827872842550278e-11,-0.00014035129725193182,0.003776853166430616,0.003952847075210375,0.3814697265625,1.6190861620062102
0.8,10000.0,512,0.4,1.0,1.253906551667477,1.2539065516670405,1.2539528470752104,1.25,3.481437214776826e-13,9.822542779147625e-11,-3.6919576235548715e-05,0.0039065516674769984,0.003952847075210375,0.095367431640625,3.2381723240124205
0.8,10000.0,1024,0.4,1.0,1.253941119072787,1.2539411190752034,1.2539528470752104,1.25,1.9271330995041632e-12,3.4924596548080444e-10,-9.35282570695861e-06,0.003941119072786936,0.003952847075210375,0.02384185791015625,6.476344648024841
0.8,1000000.0,8,0.4,1.0,1.2500039997983372,1.2500039997952157,1.250395284707521,1.25,2.4971944542157275e-12,1.1641532182693481e-10,-0.0003129289705177961,3.999798337206428e-06,0.0003952847075210375,39062.5,0.005059644256269407
0.8,1000000.0,16,0.4,1.0,1.2500079983509305,1.250007998362103,1.250395284707521,1.25,8.938037517081798e-12,2.3283064365386963e-10,-0.00030973113968609287,7.998350930460418e-06,0.0003952847075210375,9765.625,0.010119288512538814
