state,change,atom_i,atom_j,initial_surface_i,initial_surface_j,touches_grip,old_distance_A,distance_A,midpoint_z_A
loading_8pct,topological_min_cut,74,75,True,True,False,2.4889327011901425,2.546730576526013,-10.754898122512948
loading_8pct,topological_min_cut,77,112,False,True,False,2.4149728157126087,2.478769785341124,-10.284175743260892
loading_8pct,topological_min_cut,78,79,False,True,False,2.329433551446925,2.3745955648667203,-10.356173482240361
loading_8pct,topological_min_cut,81,116,False,True,False,2.32934462348775,2.374595567781486,-10.356173204328238
loading_8pct,topological_min_cut,82,83,False,True,False,2.4150199664642154,2.4787697303697476,-10.284175770185556
loading_8pct,topological_min_cut,85,120,True,True,False,2.3413233701808465,2.383595217466747,-10.204077451917861
loading_8pct,topological_min_cut,89,124,False,False,False,2.37329576528131,2.454278180857141,-10.32110742665423
loading_8pct,topological_min_cut,93,128,False,False,False,2.351791228018767,2.4511407685503728,-10.253789134720833
loading_8pct,topological_min_cut,96,97,True,True,True,2.3223166646789712,2.3805558784799903,-12.301225054897829
loading_8pct,topological_min_cut,98,99,True,True,False,2.341319304842055,2.383595248153303,-10.204077180293353
loading_8pct,topological_min_cut,100,101,False,False,True,2.3683799976805577,2.4400861395225673,-12.323923097215836
loading_8pct,topological_min_cut,102,103,False,False,False,2.3516337932600155,2.451140697583362,-10.253789095490909
loading_8pct,topological_min_cut,104,105,False,False,True,2.3592593390077603,2.435163772281654,-12.315719127271134
loading_8pct,topological_min_cut,106,107,False,False,False,2.3730329315311827,2.454278151465808,-10.32110755379042
loading_10pct,lost,147,182,True,True,False,2.410548890358691,3.822347436415656,-0.29264937010510095
loading_10pct,lost,149,184,False,True,False,2.3977817426084673,3.8066652334556497,-2.4679598950191926
loading_10pct,lost,150,151,False,True,False,2.3298649294032696,3.8794007927563,-1.9026373483124785
loading_10pct,lost,153,188,False,True,False,2.329914790613681,3.8794007689808714,-1.9026374581793966
loading_10pct,lost,154,155,False,True,False,2.397686081388313,3.806665204713645,-2.4679596743589602
loading_10pct,lost,167,200,False,False,False,2.340621949862695,3.2103220857947696,-1.7270874969888124
loading_10pct,lost,175,208,False,False,False,2.340651035209827,3.210321370047276,-1.7270874364486426
loading_10pct,lost,175,210,False,False,False,2.3417410607743707,3.571465996787632,-0.20451377846027985
loading_10pct,lost,179,214,False,False,False,2.3640788888943844,3.789675745530263,0.1975672084623561
loading_10pct,lost,180,181,True,True,False,2.4107671692887997,3.822347327432792,-0.29264931153282525
loading_10pct,lost,185,210,False,False,False,2.3367096137716707,3.1204252306777134,1.3404563865066852
loading_10pct,lost,190,201,False,False,False,2.336725698900372,3.120425199509229,1.3404564206145708
loading_10pct,lost,194,195,True,True,False,2.3395934501689757,4.852053852149854,2.193280237706944
loading_10pct,lost,196,197,False,False,False,2.3639978448605286,3.7896754931124352,0.1975673028144237
loading_10pct,lost,198,199,False,False,False,2.3649944327652315,4.133448824440608,2.177851344072058
