state,neighborhood_cutoff_A,atom,neighbors,rank,residual_degrees_of_freedom,condition,D2_A2,free,initial_coordination,initial_surface,initial_grip_neighbor,x_A,y_A,z_A,green_min,green_middle,green_max
loading_0pct,4.2,226,11,3,24,1.2771872771833948,1.1583771013023572e-30,True,4,False,False,3.035261045397782,-6.271811897276234,5.331241433268855,-2.2429594152860246e-16,-1.896504695856772e-17,4.653055934122016e-16
loading_0pct,4.2,227,9,3,18,1.7485831837736148,2.115587397158886e-28,True,2,True,False,2.3226738874157764,-7.475074161097824,7.276107060312285,-5.614382562047224e-15,-1.0806472897933336e-16,5.056313476251464e-15
loading_0pct,4.2,228,10,3,21,1.3388512202130751,3.5006996653363784e-30,True,3,True,False,5.1687977261812135,-3.672455971868824,3.3921163055543073,2.075683962306859e-16,4.461873825241374e-16,6.785118507953647e-16
loading_0pct,4.2,229,10,3,21,1.3035745048280265,1.7943340288974268e-30,True,3,True,False,5.047443266089884,-5.010239753161193,5.322167522899275,-6.235476907153339e-16,4.814980456789219e-18,6.362119794596652e-17
loading_0pct,4.2,230,10,3,21,1.322432869756271,1.6141965396861745e-30,True,3,True,False,-4.384552944159981,-0.8100309604419016,5.31753728058677,-3.563486826322424e-16,1.979459532919735e-17,4.475763897655606e-16
loading_0pct,4.2,231,10,3,21,1.3012952284392656,2.8497264103764264e-30,True,3,True,False,-4.372457003369981,-2.091109726221027,7.275730242444181,-5.574861499538852e-16,-7.224657107825552e-18,2.3164389967416385e-16
loading_0pct,4.2,232,15,3,36,1.2472728326351117,2.142301804027086e-30,True,4,False,False,-2.446007405467329,-3.4682252605332917,3.375137193165489,-2.2566491756939e-16,4.3555440765272233e-16,4.562443246917617e-16
loading_0pct,4.2,233,15,3,36,1.3277579856960695,4.582881306029187e-30,True,4,False,False,-2.4106954230628457,-4.79264303041713,5.335569409157545,-8.893292562336999e-16,-2.4347597776060887e-18,4.4767480616124295e-16
loading_0pct,4.2,234,16,3,39,1.0661688466895805,2.9164825446926057e-30,True,4,False,False,-0.5190792554305224,-0.6375098073493215,5.315213862225007,-6.931896430100416e-16,-3.322295484886769e-16,-1.9582613558895381e-16
loading_0pct,4.2,235,16,3,39,1.057995701066007,1.799174084569141e-30,True,4,False,False,-0.5291557315856523,-1.979382813219403,7.260497123231984,-4.3904638026431555e-16,1.0190927423719662e-16,4.48159408489635e-16
loading_0pct,4.2,236,16,3,39,1.0293426889173063,9.483941002296528e-30,True,4,False,False,1.5135830664181604,-3.155872505200918,3.384090755680313,-1.3932052564198377e-15,-9.316222883373368e-19,5.059584590080495e-16
loading_0pct,4.2,237,16,3,39,1.1042293314783986,3.779444405647997e-29,True,4,False,False,1.549617800731833,-4.469558696669481,5.324870737548524,-1.8486100022538335e-15,2.5014233603402283e-16,1.2654007588322635e-15
loading_0pct,4.2,238,15,3,36,1.1440348498477613,4.2802296907489626e-30,True,4,False,False,3.500645480463591,-0.6286250462865639,5.327339344969414,1.4023536577343767e-16,2.365689513511551e-16,9.554633124255956e-16
loading_0pct,4.2,239,15,3,36,1.15885916191952,3.454855009496117e-31,True,4,False,False,3.5033344229861263,-1.9831786745405293,7.266323663517055,-1.6036371950225478e-17,0.0,2.380809768752568e-16
loading_0pct,4.2,240,10,3,21,1.3022135340847083,5.953929668270842e-31,True,3,True,False,5.346713219351441,2.1373754666202873,3.3828782256489838,-3.3935097741049116e-16,-1.1220026416885014e-16,2.2950663665431e-16
loading_0pct,4.2,241,10,3,21,1.3225418185978162,2.212284620010612e-30,True,3,True,False,5.353070307346201,0.8139785653923511,5.317596214573204,-5.621961562773889e-16,2.2421287844997216e-16,4.490055802899324e-16
loading_0pct,4.2,242,10,3,21,1.3036939004245687,1.7517649585953926e-30,True,3,True,False,-4.079149159214477,5.013043646510565,5.322132772504694,-3.33347129892887e-16,1.5237065361478624e-16,5.140433836656475e-16
loading_0pct,4.2,243,10,3,21,1.324475821372809,2.0979892154266996e-30,True,3,True,False,-4.209054823588489,3.6608321424612194,7.239857300587943,-8.350318674038376e-17,4.448076289499913e-16,5.268739774905176e-16
