model,stretch,radius,qx,qy,qz,minimum_H,tail_bound,margin,radius_change
shape_refinement/old_family,0.98,12.0,0.375,0.375,0.0,12.374312759016586,2.8385819806777283e-05,12.37428437319678,
shape_refinement/old_family,0.98,12.0,0.4,0.0,0.0,16.924380297291236,2.8346515078218297e-05,16.92435195077616,
shape_refinement/old_family,0.98,12.0,0.4,0.08,0.0,15.97451187693558,2.8350852395924926e-05,15.974483526083183,
shape_refinement/old_family,0.98,12.0,0.4,0.08,0.08,15.95849033064774,2.8355198347442246e-05,15.958461975449392,
shape_refinement/old_family,0.98,12.0,0.4,0.16,0.0,14.037907657143348,2.8361671146930594e-05,14.037879295472202,
shape_refinement/old_family,0.98,12.0,0.4,0.16,0.08,14.60361395328013,2.836602607820271e-05,14.603585587254052,
shape_refinement/old_family,0.98,12.0,0.4,0.16,0.16,15.573554720697214,2.8376849454379223e-05,15.573526343847758,
shape_refinement/old_family,0.98,12.0,0.4,0.24,0.0,12.621021639455464,2.837412672693896e-05,12.620993265328737,
shape_refinement/old_family,0.98,12.0,0.4,0.24,0.08,13.250992177141015,2.8378477191828517e-05,13.250963798663824,
shape_refinement/old_family,0.98,12.0,0.4,0.24,0.16,14.883583501384093,2.8389270059925268e-05,14.883555112114033,
shape_refinement/old_family,0.98,12.0,0.4,0.24,0.24,16.44522173368087,2.8401662006077088e-05,16.445193332018864,
shape_refinement/old_family,0.98,12.0,0.4,0.32,0.0,12.37734048416252,2.8383593882459817e-05,12.377312100568638,
shape_refinement/old_family,0.98,12.0,0.4,0.32,0.08,12.861298703615004,2.838794224290839e-05,12.861270315672762,
shape_refinement/old_family,0.98,12.0,0.4,0.32,0.16,14.197049006156574,2.8398731839615762e-05,14.197020607424735,
shape_refinement/old_family,0.98,12.0,0.4,0.32,0.24,16.0517955140374,2.841119250643504e-05,16.051767102844895,
shape_refinement/old_family,0.98,12.0,0.4,0.32,0.32,17.722435188975236,2.8420994078644053e-05,17.72240676798116,
shape_refinement/old_family,0.98,12.0,0.4,0.4,0.0,13.181407096199592,2.838717693542833e-05,13.181378709022656,
shape_refinement/old_family,0.98,12.0,0.4,0.4,0.08,13.536847230282147,2.8391541868893583e-05,13.536818838740277,
shape_refinement/old_family,0.98,12.0,0.4,0.4,0.16,14.526461394581714,2.84023963450341e-05,14.52643299218537,
shape_refinement/old_family,0.98,12.0,0.4,0.4,0.24,15.949706678348187,2.8415075827005673e-05,15.94967826327236,
shape_refinement/old_family,0.98,12.0,0.4,0.4,0.32,17.55457108693711,2.842540980704213e-05,17.554542661527304,
shape_refinement/old_family,0.98,12.0,0.4,0.4,0.4,19.114866881208055,2.8430742490211194e-05,19.114838450465566,
shape_refinement/old_family,0.98,12.0,0.48,0.0,0.0,22.583428209018845,2.8369278383804946e-05,22.583399839740462,
shape_refinement/old_family,0.98,12.0,0.48,0.08,0.0,21.424779664777947,2.8371500753081453e-05,21.424751293277193,
shape_refinement/old_family,0.98,12.0,0.48,0.08,0.08,22.55094805648146,2.8373861708199578e-05,22.55091968261975,
shape_refinement/old_family,0.98,12.0,0.48,0.16,0.0,18.907653863911516,2.837692035743101e-05,18.907625486991158,
shape_refinement/old_family,0.98,12.0,0.48,0.16,0.08,20.150835762860982,2.837964812369724e-05,20.150807383212857,
shape_refinement/old_family,0.98,12.0,0.48,0.16,0.16,22.98925880594627,2.83863958145118e-05,22.989230419550456,
shape_refinement/old_family,0.98,12.0,0.48,0.24,0.0,16.639087466036145,2.838262910902087e-05,16.639059083407037,
shape_refinement/old_family,0.98,12.0,0.48,0.24,0.08,17.627115486926648,2.8385858005133146e-05,17.627087101068643,
shape_refinement/old_family,0.98,12.0,0.48,0.24,0.16,20.298914451906306,2.8393900044395805e-05,20.29888605800626,
shape_refinement/old_family,0.98,12.0,0.48,0.24,0.24,22.718846471988183,2.840311755636195e-05,22.718818068870625,
shape_refinement/old_family,0.98,12.0,0.48,0.32,0.0,15.411414975106645,2.8385634165372542e-05,15.41138658947248,
shape_refinement/old_family,0.98,12.0,0.48,0.32,0.08,16.02317574565631,2.8389428777572186e-05,16.023147356227533,
shape_refinement/old_family,0.98,12.0,0.48,0.32,0.16,17.718046312602073,2.8398907540832765e-05,17.71801791369453,
shape_refinement/old_family,0.98,12.0,0.48,0.32,0.24,20.10558012332733,2.84100019026231e-05,20.105551713325426,
shape_refinement/old_family,0.98,12.0,0.48,0.32,0.32,21.728272981436902,2.841894768808493e-05,21.728244562489213,
shape_refinement/old_family,0.98,12.0,0.48,0.4,0.0,15.216399205938188,2.838391030098659e-05,15.216370822027887,
shape_refinement/old_family,0.98,12.0,0.48,0.4,0.08,15.550738403825935,2.8388297450294518e-05,15.550710015528486,
shape_refinement/old_family,0.98,12.0,0.48,0.4,0.16,16.482370853500598,2.8399244753582687e-05,16.482342454255843,
shape_refinement/old_family,0.98,12.0,0.48,0.4,0.24,17.827619008615507,2.8412229277409926e-05,17.82759059638623,
shape_refinement/old_family,0.98,12.0,0.48,0.4,0.32,19.36850693452695,2.84232802231498e-05,19.368478511246725,
shape_refinement/old_family,0.98,12.0,0.48,0.4,0.4,20.478050134033847,2.84298401164671e-05,20.47802170419373,
shape_refinement/old_family,0.98,12.0,0.48,0.48,0.0,16.13141130463864,2.8376687757799226e-05,16.13138292795088,
shape_refinement/old_family,0.98,12.0,0.48,0.48,0.08,16.35009882282894,2.838166936312465e-05,16.350070441159577,
shape_refinement/old_family,0.98,12.0,0.48,0.48,0.16,16.948874966687736,2.839402762396502e-05,16.948846572660113,
shape_refinement/old_family,0.98,12.0,0.48,0.48,0.24,17.776996241794965,2.840877831950607e-05,17.776967833016645,
shape_refinement/old_family,0.98,12.0,0.48,0.48,0.32,18.642086387192947,2.8421833638427445e-05,18.64205796535931,
shape_refinement/old_family,0.98,12.0,0.48,0.48,0.4,19.366570658077762,2.8430620216286183e-05,19.366542227457547,
shape_refinement/old_family,0.98,12.0,0.48,0.48,0.48,19.82627772055217,2.8433763041031852e-05,19.82624928678913,
shape_refinement/old_family,0.98,12.0,0.56,0.0,0.0,28.633269685341574,2.837933232004692e-05,28.633241306009253,
shape_refinement/old_family,0.98,12.0,0.56,0.08,0.0,27.40086325946528,2.8380003182177655e-05,27.400834879462096,
shape_refinement/old_family,0.98,12.0,0.56,0.08,0.08,28.479486702855986,2.8380879282294672e-05,28.479458321976704,
shape_refinement/old_family,0.98,12.0,0.56,0.16,0.0,24.778187014863637,2.838139360078062e-05,24.778158633470035,
shape_refinement/old_family,0.98,12.0,0.56,0.16,0.08,26.256497116460327,2.838283898102271e-05,26.256468733621347,
shape_refinement/old_family,0.98,12.0,0.56,0.16,0.16,27.810510693591336,2.8386353406707462e-05,27.81048230723793,
shape_refinement/old_family,0.98,12.0,0.56,0.24,0.0,22.403332364470522,2.838197634742354e-05,22.403303982494176,
shape_refinement/old_family,0.98,12.0,0.56,0.24,0.08,23.46725567183598,2.8384251725848192e-05,23.467227287584254,
