dt_ps,prefix_ps,parts,block,nw,lower_cycle_THz,upper_cycle_THz,axis,mobility_m2_per_J_s,normalized_collective_energy_mobility_m2_per_J_s,temperature_K
0.0025,2000,1,0,2.0,0.08,0.16,direct110,239753833964.62946,34524552090906.64,299.0767589647813
0.0025,2000,1,0,2.0,0.08,0.16,transverse,221534672648.44827,31900992861376.55,299.0767589647813
0.0025,2000,1,0,3.0,0.002,0.005,normal,81986699535.86948,11806084733165.205,299.0767589647813
0.0025,2000,1,0,3.0,0.002,0.005,direct110,213213925132.65652,30702805219102.54,299.0767589647813
0.0025,2000,1,0,3.0,0.002,0.005,transverse,176726421330.93762,25448604671655.016,299.0767589647813
0.0025,2000,1,0,3.0,0.005,0.01,normal,98506109411.08002,14184879755195.523,299.0767589647813
0.0025,2000,1,0,3.0,0.005,0.01,direct110,146714505259.74854,21126888757403.79,299.0767589647813
0.0025,2000,1,0,3.0,0.005,0.01,transverse,209173985900.17157,30121053969624.707,299.0767589647813
0.0025,2000,1,0,3.0,0.01,0.02,normal,93292136366.28873,13434067636745.576,299.0767589647813
0.0025,2000,1,0,3.0,0.01,0.02,direct110,216325517581.42065,31150874531724.574,299.0767589647813
0.0025,2000,1,0,3.0,0.01,0.02,transverse,204566708951.199,29457606088972.656,299.0767589647813
0.0025,2000,1,0,3.0,0.02,0.04,normal,83519286966.9727,12026777323244.068,299.0767589647813
0.0025,2000,1,0,3.0,0.02,0.04,direct110,182777507890.08765,26319961136172.62,299.0767589647813
0.0025,2000,1,0,3.0,0.02,0.04,transverse,200319859501.60834,28846059768231.6,299.0767589647813
0.0025,2000,1,0,3.0,0.04,0.08,normal,72165603417.32957,10391846892095.459,299.0767589647813
0.0025,2000,1,0,3.0,0.04,0.08,direct110,207090196097.62555,29820988238058.08,299.0767589647813
0.0025,2000,1,0,3.0,0.04,0.08,transverse,217954113962.28662,31385392410569.273,299.0767589647813
0.0025,2000,1,0,3.0,0.08,0.16,normal,83207105106.15982,11981823135287.014,299.0767589647813
0.0025,2000,1,0,3.0,0.08,0.16,direct110,241774345902.70938,34815505809990.152,299.0767589647813
0.0025,2000,1,0,3.0,0.08,0.16,transverse,218453219934.23563,31457263670529.93,299.0767589647813
0.0025,2000,2,0,2.0,0.005,0.01,normal,90535169439.50793,13037064399289.143,299.0686029102356
0.0025,2000,2,0,2.0,0.005,0.01,direct110,159538977896.07465,22973612817034.75,299.0686029102356
0.0025,2000,2,0,2.0,0.005,0.01,transverse,282961797178.479,40746498793700.98,299.0686029102356
0.0025,2000,2,0,2.0,0.01,0.02,normal,73913320088.16351,10643518092695.547,299.0686029102356
0.0025,2000,2,0,2.0,0.01,0.02,direct110,179838383284.14395,25896727192916.73,299.0686029102356
0.0025,2000,2,0,2.0,0.01,0.02,transverse,208987082990.80115,30094139950675.367,299.0686029102356
0.0025,2000,2,0,2.0,0.02,0.04,normal,74992589475.73698,10798932884506.125,299.0686029102356
0.0025,2000,2,0,2.0,0.02,0.04,direct110,170677944467.2779,24577624003288.016,299.0686029102356
