observable,role,original_role,validation_status,source_target,imposed_target,prediction,units,scale,imposed_normalized_residual,source_normalized_residual
v17_compression_Hxx,heldout,heldout,retrospective,5.568444170552721,5.568444170552721,3.659362422652602,eV/L0^2,0.5568444170552721,-3.4283934424552633,-3.4283934424552633
v17_opening1.045_energy,heldout,heldout,retrospective,0.012439540042104347,0.012439540042104347,0.009902247481751943,eV/cell,0.004433026104653031,-0.5723612946220165,-0.5723612946220165
v17_opening1.045_normal_force,heldout,heldout,retrospective,0.6560493060873362,0.6560493060873362,0.4839716824481293,eV/L0,0.03173805605024358,-5.4218072892301885,-5.4218072892301885
v17_opening1.045_Haa,heldout,heldout,retrospective,16.173163667497242,16.173163667497242,10.67544885897038,eV/L0^2,1.6173163667497243,-3.399282244064262,-3.399282244064262
v17_opening1.045_Hxx,heldout,heldout,retrospective,3.5468340021412335,3.5468340021412335,2.8219907922725778,eV/L0^2,0.35468340021412337,-2.0436344340644808,-2.0436344340644808
v17_opening1.255_energy,heldout,heldout,retrospective,0.2548812728796389,0.2548812728796389,0.16016700704327214,eV/cell,0.02548812728796389,-3.7160150985707427,-3.7160150985707427
v17_opening1.255_normal_force,heldout,heldout,retrospective,1.5479287243761108,1.5479287243761108,0.9475997319938954,eV/L0,0.03173805605024358,-18.915115388032977,-18.915115388032977
v17_opening1.255_Haa,heldout,heldout,retrospective,-3.07660296796585,-3.07660296796585,-0.47033232352251464,eV/L0^2,0.307660296796585,8.471260905551674,8.471260905551674
v17_opening1.255_Hxx,heldout,heldout,retrospective,-0.8591645505462155,-0.8591645505462155,0.7240113173184898,eV/L0^2,0.1,15.831758678647052,15.831758678647052
v17_opening1.555_energy,heldout,heldout,retrospective,0.4970497627048889,0.4970497627048889,0.3682798139076346,eV/cell,0.04970497627048889,-2.5906852484246787,-2.5906852484246787
v17_opening1.555_normal_force,heldout,heldout,retrospective,0.5361595264738468,0.5361595264738468,0.7469878283868531,eV/L0,0.03173805605024358,6.642760400298311,6.642760400298311
v17_opening1.555_Haa,heldout,heldout,retrospective,-0.9598397042596563,-0.9598397042596563,-0.8073887058471718,eV/L0^2,0.1,1.5245099841248444,1.5245099841248444
v17_opening1.555_Hxx,heldout,heldout,retrospective,-0.8905810007935903,-0.8905810007935903,0.08308615176812882,eV/L0^2,0.1,9.73667152561719,9.73667152561719
v17_opening1.855_energy,heldout,heldout,retrospective,0.6331364785570511,0.6331364785570511,0.5265503664901272,eV/cell,0.06331364785570512,-1.6834618708092584,-1.6834618708092584
v17_opening1.855_normal_force,heldout,heldout,retrospective,0.6294361584094642,0.6294361584094642,0.5434932275271066,eV/L0,0.03173805605024358,-2.707882636110538,-2.707882636110538
v17_opening1.855_Haa,heldout,heldout,retrospective,0.33758173393615254,0.33758173393615254,-0.8387321361748563,eV/L0^2,0.1,-11.763138701110089,-11.763138701110089
v17_opening1.855_Hxx,heldout,heldout,retrospective,-0.0764657682265532,-0.0764657682265532,0.0065266123114250335,eV/L0^2,0.1,0.8299238053797823,0.8299238053797823
v17_opening2.455_energy,heldout,heldout,retrospective,0.7722611869157332,0.7722611869157332,0.7041607791410489,eV/cell,0.07722611869157332,-0.8818312887983479,-0.8818312887983479
v17_opening2.455_normal_force,heldout,heldout,retrospective,-0.03892592855831557,-0.03892592855831557,0.21441048422061074,eV/L0,0.03173805605024358,7.98210238137701,7.98210238137701
v17_opening2.455_Haa,heldout,heldout,retrospective,1.5212189106347462,1.5212189106347462,-0.45985548252532327,eV/L0^2,0.15212189106347462,-13.022940875310596,-13.022940875310596
v17_opening2.455_Hxx,heldout,heldout,retrospective,0.04446583977668427,0.04446583977668427,8.480274592719732e-06,eV/L0^2,0.1,-0.4445735950209155,-0.4445735950209155
v17_opening3.75_energy,heldout,heldout,retrospective,0.7719163228888833,0.7719163228888833,0.7904280812238145,eV/cell,0.07719163228888834,0.2398156093610146,0.2398156093610146
v17_opening3.75_normal_force,heldout,heldout,retrospective,0.0,0.0,0.018406863725184436,eV/L0,0.03173805605024358,0.5799619137367794,0.5799619137367794
v17_opening3.75_Haa,heldout,heldout,retrospective,0.0,0.0,-0.04452605264075426,eV/L0^2,0.1,-0.44526052640754255,-0.44526052640754255
v17_opening3.75_Hxx,heldout,heldout,retrospective,0.0,0.0,-1.3641820303794201e-08,eV/L0^2,0.1,-1.3641820303794201e-07,-1.3641820303794201e-07
v19_new_0_energy,heldout,heldout,retrospective,0.00042417681882149505,0.00042417681882149505,0.0004461909541877519,eV/cell,0.004433026104653031,0.00496593858158204,0.00496593858158204
