observable,role,original_role,validation_status,source_target,imposed_target,prediction,units,scale,imposed_normalized_residual,source_normalized_residual
v16_opening1.93_normal_force,fit,fit,development_or_control,0.6270410192299789,0.6270410192299789,0.5261864369206122,eV/L0,0.03173805605024358,-3.177717694798535,-3.177717694798535
v16_opening1.93_Haa,fit,fit,development_or_control,-0.6638075680371565,-0.6638075680371565,-0.8275510610386758,eV/L0^2,0.1,-1.6374349300151936,-1.6374349300151936
v16_opening2.71_energy,fit,fit,development_or_control,0.7719163228888833,0.7719163228888833,0.7769556790842352,eV/cell,0.07719163228888834,0.06528371075885782,0.06528371075885782
v16_opening2.71_normal_force,fit,fit,development_or_control,0.0,0.0,0.1557919086489404,eV/L0,0.03173805605024358,4.90867835138708,4.90867835138708
v16_opening2.71_Haa,fit,fit,development_or_control,0.0,0.0,-0.32988275003693524,eV/L0^2,0.1,-3.2988275003693524,-3.2988275003693524
v16_opening4.3_energy,fit,fit,development_or_control,0.7719163228888833,0.7719163228888833,0.843776693492687,eV/cell,0.07719163228888834,0.9309347201632878,0.9309347201632878
v16_opening4.3_normal_force,fit,fit,development_or_control,0.0,0.0,0.008363989367383614,eV/L0,0.03173805605024358,0.2635318733492319,0.2635318733492319
v16_opening4.3_Haa,fit,fit,development_or_control,0.0,0.0,-0.019526370012715365,eV/L0^2,0.1,-0.19526370012715363,-0.19526370012715363
v16_opening6.2_energy,fit,fit,development_or_control,0.7719163228888833,0.7719163228888833,0.8472322216322173,eV/cell,0.07719163228888834,0.9757002995022253,0.9757002995022253
v16_opening6.2_normal_force,fit,fit,development_or_control,0.0,0.0,0.00020760585411035766,eV/L0,0.03173805605024358,0.006541227786027694,0.006541227786027694
v16_opening6.2_Haa,fit,fit,development_or_control,0.0,0.0,-0.000502246985013084,eV/L0^2,0.1,-0.00502246985013084,-0.00502246985013084
v17_near_0.985_normal_force,fit,fit,development_or_control,-0.24821900083247345,-0.24821900083247345,-0.2816419496747432,eV/L0,0.03173805605024358,-1.053087460345992,-1.053087460345992
v17_near_0.985_Haa,fit,fit,development_or_control,20.878110673451364,20.878110673451364,25.957913219740515,eV/L0^2,2.0878110673451364,2.433075782450294,2.433075782450294
v17_near_1.015_normal_force,fit,fit,development_or_control,0.2329580444899274,0.2329580444899274,0.20447937190366122,eV/L0,0.03173805605024358,-0.897303620019526,-0.897303620019526
v17_near_1.015_Haa,fit,fit,development_or_control,18.39295935022696,18.39295935022696,14.143563317924471,eV/L0^2,1.839295935022696,-2.3103384025312126,-2.3103384025312126
v17_near_1.065_normal_force,fit,fit,development_or_control,0.9078686582498847,0.9078686582498847,0.6819194097695287,eV/L0,0.03173805605024358,-7.119189912660763,-7.119189912660763
v17_near_1.065_Haa,fit,fit,development_or_control,14.605604041867348,14.605604041867348,11.47654321740192,eV/L0^2,1.4605604041867348,-2.1423700214629213,-2.1423700214629213
v17_near_1.095_normal_force,fit,fit,development_or_control,1.2303804278835464,1.2303804278835464,0.856016188814215,eV/L0,0.03173805605024358,-11.795436950413295,-11.795436950413295
v17_near_1.095_Haa,fit,fit,development_or_control,11.545874277606002,11.545874277606002,2.74196410137336,eV/L0^2,1.1545874277606003,-7.625156800216,-7.625156800216
v17_direct023_energy,heldout,heldout,retrospective,0.10138618519039871,0.10138618519039871,0.08746237676878663,eV/cell,0.010138618519039872,-1.373343754424116,-1.373343754424116
v17_direct023_normal_force,heldout,heldout,retrospective,-0.8610948380753036,-0.8610948380753036,-0.7710183760491792,eV/L0,0.03173805605024358,2.838121587646295,2.838121587646295
v17_direct023_Haa,heldout,heldout,retrospective,29.67272464413389,29.67272464413389,25.66806832585697,eV/L0^2,2.967272464413389,-1.349608560152434,-1.349608560152434
v17_direct023_Hxx,heldout,heldout,retrospective,1.5318476269016676,1.5318476269016676,2.287748392516314,eV/L0^2,0.1531847626901668,4.934568897975444,4.934568897975444
v17_direct047_energy,heldout,heldout,retrospective,0.26395051027571553,0.26395051027571553,0.24070601320938084,eV/cell,0.026395051027571555,-0.8806384591586551,-0.8806384591586551
v17_direct047_normal_force,heldout,heldout,retrospective,-2.2580600813748397,-2.2580600813748397,-2.2058360912047252,eV/L0,0.03173805605024358,1.6454690888263672,1.6454690888263672
v17_direct047_Haa,heldout,heldout,retrospective,35.337517734960244,35.337517734960244,43.081546168083136,eV/L0^2,3.5337517734960247,2.191446635048036,2.191446635048036
v17_direct047_Hxx,heldout,heldout,retrospective,-7.290154929569364,-7.290154929569364,-6.263094700140783,eV/L0^2,0.7290154929569365,1.4088318277883978,1.4088318277883978
v17_off_plus_energy,heldout,heldout,retrospective,0.08014986299727256,0.08014986299727256,0.0719736218053671,eV/cell,0.008014986299727257,-1.0201191725285539,-1.0201191725285539
v17_off_plus_normal_force,heldout,heldout,retrospective,0.496288954541943,0.496288954541943,0.3598338664861859,eV/L0,0.03173805605024358,-4.29941543488798,-4.29941543488798
v17_off_plus_Haa,heldout,heldout,retrospective,13.145916399036436,13.145916399036436,10.279109410423565,eV/L0^2,1.3145916399036437,-2.1807585729230716,-2.1807585729230716
v17_off_plus_Hxx,heldout,heldout,retrospective,0.5867789207029961,0.5867789207029961,0.14198581682035266,eV/L0^2,0.1,-4.447931038826434,-4.447931038826434
v17_off_minus_energy,heldout,heldout,retrospective,0.21284911087573022,0.21284911087573022,0.18448523683424056,eV/cell,0.021284911087573022,-1.3325812790474665,-1.3325812790474665
v17_off_minus_normal_force,heldout,heldout,retrospective,0.06702268289699899,0.06702268289699899,-0.12951134715157459,eV/L0,0.03173805605024358,-6.19237768492961,-6.19237768492961
v17_off_minus_Haa,heldout,heldout,retrospective,11.464221151869252,11.464221151869252,12.215938358569556,eV/L0^2,1.1464221151869252,0.6557071751688391,0.6557071751688391
v17_off_minus_Hxx,heldout,heldout,retrospective,-2.835312235036081,-2.835312235036081,-2.4707596538358074,eV/L0^2,0.2835312235036081,1.2857581492982706,1.2857581492982706
