family,case,observable,role,original_role,validation_status,source_target,imposed_target,prediction,units,scale,imposed_normalized_residual,source_normalized_residual
old_family,normal_scan_0,v20_new_4_energy,heldout,heldout,new_predeclared,0.4890270726004544,0.4890270726004544,0.4493779587446082,eV/cell,0.04890270726004545,-0.8107754371349581,-0.8107754371349581
old_family,normal_scan_0,v20_new_4_force,heldout,heldout,new_predeclared,0.5582577926902346,0.5582577926902346,0.7641758907197019,eV/L0,0.03173805605024358,6.488050109417051,6.488050109417051
old_family,normal_scan_0,v20_new_4_Haa,heldout,heldout,new_predeclared,-1.9854681988380205,-1.9854681988380205,-1.5585331360635981,eV/L0^2,0.19854681988380207,2.1502991738889734,2.1502991738889734
old_family,normal_scan_0,v20_new_4_Hxx,heldout,heldout,new_predeclared,-1.0730096719553677,-1.0730096719553677,0.0682972726498,eV/L0^2,0.10730096719553678,10.636501929431263,10.636501929431263
old_family,normal_scan_0,v20_new_5_energy,heldout,heldout,new_predeclared,0.6157939144055483,0.6157939144055483,0.592311006026735,eV/cell,0.06157939144055483,-0.38134362535041155,-0.38134362535041155
old_family,normal_scan_0,v20_new_5_force,heldout,heldout,new_predeclared,0.6195747950914187,0.6195747950914187,0.4935441042202716,eV/L0,0.03173805605024358,-3.970964405369742,-3.970964405369742
old_family,normal_scan_0,v20_new_5_Haa,heldout,heldout,new_predeclared,0.4318686304614479,0.4318686304614479,-0.8957540946829531,eV/L0^2,0.1,-13.27622725144401,-13.27622725144401
old_family,normal_scan_0,v20_new_5_Hxx,heldout,heldout,new_predeclared,0.05966529359502488,0.05966529359502488,0.003220851749590522,eV/L0^2,0.1,-0.5644444184543436,-0.5644444184543436
old_family,normal_scan_0,v20_new_6_energy,heldout,heldout,new_predeclared,0.729941495134474,0.729941495134474,0.6724951782020557,eV/cell,0.0729941495134474,-0.7869989213565015,-0.7869989213565015
old_family,normal_scan_0,v20_new_6_force,heldout,heldout,new_predeclared,0.4717044111502519,0.4717044111502519,0.34656344110067516,eV/L0,0.03173805605024358,-3.9429311565733505,-3.9429311565733505
old_family,normal_scan_0,v20_new_6_Haa,heldout,heldout,new_predeclared,-1.7417609490586863,-1.7417609490586863,-0.6486071857457482,eV/L0^2,0.17417609490586863,6.2761411886270615,6.2761411886270615
