axis,dt_ps,prefix_ps,nw,parts,block,drag_J_s_m2,mobility_m2_J_s,objective
1,0.005,1000,3.0,4,0,3.902122122514745e-12,256270810754.51944,0.1411769857972062
1,0.005,1000,3.0,4,1,4.060239193296443e-12,246290908587.60864,0.01903363506356532
1,0.005,1000,3.0,4,2,4.488728454120078e-12,222780239486.78116,0.02373931771951556
1,0.005,1000,3.0,4,3,4.646237361406021e-12,215227919328.12167,0.18754401870428095
1,0.005,2000,2.0,1,0,4.205313705350529e-12,237794388258.75803,0.043179200805999254
1,0.005,2000,2.0,2,0,4.035973279192313e-12,247771709777.0583,0.03852683159880363
1,0.005,2000,2.0,2,1,4.375425586701683e-12,228549196000.34332,0.09993709545606272
1,0.005,2000,2.0,4,0,3.840141610570495e-12,260407063439.37122,0.15996511327413623
1,0.005,2000,2.0,4,1,4.335714358216892e-12,230642500261.7701,0.07736129810638023
1,0.005,2000,2.0,4,2,3.786287228637556e-12,264110971940.13892,0.013048235175256346
1,0.005,2000,2.0,4,3,5.229531664793651e-12,191221712401.55566,0.08212051690623676
1,0.005,2000,3.0,1,0,4.184488829062989e-12,238977815654.46902,0.04372202886853284
1,0.005,2000,3.0,2,0,4.028214956975587e-12,248248916872.79944,0.02109299313399045
1,0.005,2000,3.0,2,1,4.342671395345018e-12,230273006857.4649,0.14005306985590507
1,0.005,2000,3.0,4,0,3.807188551051827e-12,262661012605.67355,0.24842041153527172
1,0.005,2000,3.0,4,1,4.290946684438694e-12,233048805669.5143,0.08543775903808541
1,0.005,2000,3.0,4,2,3.728882971026027e-12,268176826081.73767,0.00530896974621183
1,0.005,2000,3.0,4,3,5.2479288692659674e-12,190551363197.0913,0.08572056852028687
1,0.005,5000,2.0,1,0,4.3862993202803344e-12,227982617459.87927,0.05870587428794922
1,0.005,5000,2.0,2,0,4.337011572658544e-12,230573514330.51633,0.05036847730743774
1,0.005,5000,2.0,2,1,4.538984193756944e-12,220313611440.9542,0.09825066642527631
1,0.005,5000,2.0,4,0,4.099731064622938e-12,243918438609.0877,0.02052369566144367
1,0.005,5000,2.0,4,1,4.72503711205658e-12,211638549345.64703,0.07215993441519901
1,0.005,5000,2.0,4,2,4.6004823098521665e-12,217368513266.19586,0.08598205734262686
1,0.005,5000,2.0,4,3,4.418922339034212e-12,226299519040.32724,0.15975582004951355
1,0.005,5000,3.0,1,0,4.368813739960859e-12,228895086749.3287,0.055691177362350575
1,0.005,5000,3.0,2,0,4.326239022364617e-12,231147653846.7873,0.0657469939986485
1,0.005,5000,3.0,2,1,4.552303500207944e-12,219669009316.7824,0.13733352424753648
1,0.005,5000,3.0,4,0,4.08314818957977e-12,244909063685.71405,0.014862078433020214
1,0.005,5000,3.0,4,1,4.743651210488415e-12,210808079183.59543,0.06569679986579367
1,0.005,5000,3.0,4,2,4.627324792639578e-12,216107588036.7514,0.10355425548018965
1,0.005,5000,3.0,4,3,4.453786500852604e-12,224528050414.75754,0.1744758228477803
