model,fraction_a1,fraction_a2,a_L0,ux_L0,uy_L0,energy_J_m2,normal_force_eV_L0,registry_x_force_eV_L0,registry_y_force_eV_L0,min_registry_hessian_eV_L0sq
analytic_candidate,0.1,0.6000000000000001,0.816496580927726,0.4,0.5196152422706632,0.2986131165856805,-1.2571583533118993,-0.9383164462596711,0.061066594853995564,-3.5731746058074445
analytic_candidate,0.1,0.65,0.816496580927726,0.42500000000000004,0.562916512459885,0.2484947293995491,-1.0205306271813055,-0.7412461324397318,-0.10696436231695787,-3.2666526790224006
analytic_candidate,0.1,0.7000000000000001,0.816496580927726,0.45000000000000007,0.6062177826491071,0.19610766921195358,-0.7862439137849023,-0.5005586596096996,-0.23918766237384953,-2.6501153207736072
analytic_candidate,0.1,0.75,0.816496580927726,0.475,0.649519052838329,0.1469709054617569,-0.5805067057019652,-0.24432148145646543,-0.3295106763256162,-1.7349900026641085
analytic_candidate,0.1,0.8,0.816496580927726,0.5,0.6928203230275509,0.10536503467221292,-0.4186633191722598,-1.4468001302356093e-16,-0.3764894604099722,-0.5873662767849644
analytic_candidate,0.1,0.8500000000000001,0.816496580927726,0.525,0.7361215932167728,0.07414397162288887,-0.3058327786192782,0.2088467981854377,-0.3806597733169467,0.6677354702430818
analytic_candidate,0.1,0.9,0.816496580927726,0.55,0.7794228634059948,0.05492328465784167,-0.24052118484195742,0.36457276829068375,-0.3427421617223377,1.7922437188324256
analytic_candidate,0.1,0.9500000000000001,0.816496580927726,0.5750000000000001,0.8227241335952167,0.04844805786603115,-0.21929100601816492,0.4561962487130226,-0.2633850269977605,2.301893657249107
analytic_candidate,0.1,1.0,0.816496580927726,0.6,0.8660254037844386,0.054923284657841784,-0.24052118484196033,0.4791098031448819,-0.14435819800658026,1.7922437188324243
analytic_candidate,0.15000000000000002,0.0,0.816496580927726,0.15000000000000002,0.0,0.12098779177104474,-0.540755791219079,0.6865321117648396,-0.3187407407218004,0.11782291411584067
analytic_candidate,0.15000000000000002,0.05,0.816496580927726,0.17500000000000002,0.04330127018922193,0.1312510161574711,-0.551669783289968,0.5730064206129772,-0.19788544387729876,-0.8288694607204752
analytic_candidate,0.15000000000000002,0.1,0.816496580927726,0.2,0.08660254037844387,0.14697090546175698,-0.5805067057019644,0.4075253572444076,-0.04683327146873941,-1.734990002664111
analytic_candidate,0.15000000000000002,0.15000000000000002,0.816496580927726,0.22500000000000003,0.1299038105676658,0.16782167371905737,-0.6349735879679498,0.20466311481136398,0.11816230442952715,-2.4163215521871337
analytic_candidate,0.15000000000000002,0.2,0.816496580927726,0.25,0.17320508075688773,0.19252505509153767,-0.7163859693551998,-0.019289882554300888,0.2764892088957416,-2.784732618518521
analytic_candidate,0.15000000000000002,0.25,0.816496580927726,0.275,0.21650635094610965,0.21868166061363833,-0.8169783970822574,-0.24646555179753593,0.40676962181732995,-2.8242659355813835
analytic_candidate,0.15000000000000002,0.30000000000000004,0.816496580927726,0.30000000000000004,0.2598076211353316,0.2429904004965809,-0.9204967587012882,-0.45741460014269875,0.49104736736611304,-2.59085396698454
analytic_candidate,0.15000000000000002,0.35000000000000003,0.816496580927726,0.32500000000000007,0.30310889132455354,0.26184720495124175,-1.0061524495828271,-0.6317903984548067,0.5184979270808036,-2.2239461199879815
analytic_candidate,0.15000000000000002,0.4,0.816496580927726,0.35000000000000003,0.34641016151377546,0.27216658664313587,-1.05473562614999,-0.750245986289464,0.4875866174545001,-1.941351867426438
analytic_candidate,0.15000000000000002,0.45,0.816496580927726,0.375,0.3897114317029974,0.272166586643136,-1.0547356261499885,-0.7973853904056547,0.40593877448673793,-1.9413518674264365
analytic_candidate,0.15000000000000002,0.5,0.816496580927726,0.4,0.4330127018922193,0.2618472049512416,-1.006152449582827,-0.7649275758889497,0.2878975713885532,-2.223946119987981
analytic_candidate,0.15000000000000002,0.55,0.816496580927726,0.42500000000000004,0.4763139720814413,0.2429904004965809,-0.920496758701292,-0.6539667946718724,0.1506089801024226,-2.590853966984545
