axis,frequency_per_ps,duration_ps,block,site,real_A,imag_A
0,0.05,180.0,16,2,7.295291935693024e-05,4.285527634530752e-05
0,0.05,180.0,16,3,4.630206644940063e-06,-0.00014052985190057628
0,0.05,180.0,16,4,8.544472855802226e-06,-2.7600408524445907e-05
0,0.05,180.0,16,5,-1.3844135877565515e-05,6.848601013024358e-05
0,0.05,180.0,17,0,1.1031068691121265e-06,-1.5137372811235284e-05
0,0.05,180.0,17,1,-0.00011552653708374604,1.1552535663375034e-05
0,0.05,180.0,17,2,-8.590125448516949e-05,4.3165878419552806e-05
0,0.05,180.0,17,3,-9.876173735740765e-06,-1.568030870572547e-05
0,0.05,180.0,17,4,0.0001533701584019056,-2.333612188726323e-05
0,0.05,180.0,17,5,5.683070003363857e-05,-5.646106787037968e-07
0,0.05,180.0,18,0,2.5878167286312395e-05,1.3739294137454961e-05
0,0.05,180.0,18,1,-3.646633393961074e-05,7.690707378314576e-05
0,0.05,180.0,18,2,-3.598360494067902e-05,-2.365663818620907e-05
0,0.05,180.0,18,3,1.69239187723128e-05,-3.679802914824158e-05
0,0.05,180.0,18,4,6.8976281597176775e-06,7.936036718656479e-05
0,0.05,180.0,18,5,2.2750224661946724e-05,-0.00010955206777271513
0,0.05,180.0,19,0,-5.894641473856452e-05,-4.302594408164557e-05
0,0.05,180.0,19,1,-9.56905809864792e-05,-2.904716686817349e-05
0,0.05,180.0,19,2,3.332260750982606e-05,8.740570025222553e-05
0,0.05,180.0,19,3,-4.7549097558076656e-05,2.329065955043322e-05
0,0.05,180.0,19,4,0.0001138718250670371,-3.937348600810586e-05
0,0.05,180.0,19,5,5.499166070625711e-05,7.502371552660397e-07
0,0.05,180.0,20,0,0.00011517933072201019,-2.3706859439879286e-05
0,0.05,180.0,20,1,-3.062950713228165e-05,1.347187008675285e-06
0,0.05,180.0,20,2,-0.00011784461499568833,-5.6053631284435696e-05
0,0.05,180.0,20,3,1.0411945658995943e-05,1.5419280106433087e-05
0,0.05,180.0,20,4,-5.46253854258102e-05,-2.510174019866573e-05
0,0.05,180.0,20,5,7.750823117277427e-05,8.809576380787234e-05
0,0.05,180.0,21,0,3.3805156342102044e-05,7.589080263557753e-05
0,0.05,180.0,21,1,-5.327200693831551e-05,-7.320881733887291e-05
0,0.05,180.0,21,2,3.735478977786646e-05,4.437729153682887e-05
0,0.05,180.0,21,3,2.3950926732976297e-05,1.4442608394506998e-05
0,0.05,180.0,21,4,1.0577136944487414e-05,-9.28591133793061e-05
0,0.05,180.0,21,5,-5.2416002859117214e-05,3.135722815126552e-05
0,0.05,180.0,22,0,4.521764544134666e-05,-6.206985789516229e-05
0,0.05,180.0,22,1,-7.244242440903538e-05,1.954121101562443e-05
0,0.05,180.0,22,2,-1.9064209754434646e-06,-1.3443559608302599e-05
0,0.05,180.0,22,3,-1.8657899541161415e-05,6.664726025482586e-05
0,0.05,180.0,22,4,2.9291047209977092e-05,1.4404129702537366e-05
0,0.05,180.0,22,5,1.8498052274316425e-05,-2.507918346952286e-05
0,0.05,180.0,23,0,3.7478889199973956e-05,-1.7010187933090363e-05
0,0.05,180.0,23,1,-3.882210074155248e-05,-2.7414080467228226e-05
0,0.05,180.0,23,2,5.187854623983769e-05,-1.398491382693345e-05
0,0.05,180.0,23,3,-4.5619005603788644e-05,-6.223542728865624e-06
0,0.05,180.0,23,4,-6.87641786109751e-06,1.594950579857674e-05
0,0.05,180.0,23,5,1.9600887666267004e-06,4.868321915754081e-05
0,0.05,180.0,24,0,5.224227972730638e-05,-4.919207851311546e-05
0,0.05,180.0,24,1,-1.7723122184851056e-05,-1.178948107154087e-05
