phase,time_reduced,force_reduced,survival_from_cycle_start,outflux,hazard,conditional_mean_lambda,conditional_variance,conditional_mean_shifted_energy
0.64,7.68,0.002606407300569478,0.9188721628186687,0.005359680288657918,0.0058308496379922015,1.0125684263045884,0.0006395579072795825,0.0003126321410357389
0.65,7.8,0.0023368810393753683,0.918262396042025,0.005081389805363472,0.005531864791780362,1.01214717551491,0.000635854511461134,0.0003087375561712614
0.66,7.92,0.002089704521485893,0.917683906552771,0.00482074574378324,0.00525151078384839,1.0117367836827413,0.0006321298876017034,0.00030502508405551434
0.6699999999999999,8.04,0.001865853239692958,0.9171346106536056,0.00457746582638046,0.0049895571907555055,1.011338901986532,0.000628402556037231,0.00030150058914327996
0.68,8.16,0.0016662106327378643,0.9166124693961227,0.004351177145686906,0.004745667830228365,1.0109551159831522,0.000624691275552995,0.00029816797910530584
0.69,8.28,0.0014915645987822424,0.9161154971317277,0.004141435536625871,0.004519422100573908,1.0105869386961481,0.0006210148746700505,0.00029502935766769417
0.7000000000000001,8.4,0.0013426043859339253,0.9156417679005106,0.003947743593476073,0.004310334951962918,1.010235804354387,0.0006173920846770401,0.00029208520516786363
0.71,8.52,0.0012199178720995836,0.9151894198367952,0.0037695671976270884,0.004117875312131236,1.0099030628190915,0.0006138413775394879,0.00028933458234574284
0.7200000000000001,8.64,0.0011239892448991788,0.9147566577787378,0.0036063504838118724,0.003941482861333469,1.009589974724307,0.0006103808115137985,0.00028677535240328566
0.73,8.76,0.0010551970907986558,0.9143417542716316,0.003457529225882142,0.003780583113962983,1.0092977073427494,0.0006070278869120931,0.00028440441601678177
0.7399999999999999,8.879999999999999,0.0010138129010020995,0.913943049151482,0.003322542667917189,0.00363460081751239,1.0090273311761553,0.0006037994140260822,0.00028221795378256755
0.75,9.0,0.001,0.9135589478879901,0.0032008438624284694,0.0035029717228759055,1.008779817257092,0.0006007113947440693,0.0002802116705196484
0.7599999999999999,9.12,0.0010138129010020995,0.9131879188554054,0.003091908604875563,0.0033851528131005,1.0085560351379346,0.0005977789189058294,0.00027838103593890167
0.77,9.24,0.001055197090798655,0.9128284896866293,0.0029952430731315016,0.003280631102553419,1.0083567515327834,0.0005950160759556209,0.00027672151640939084
0.7799999999999999,9.36,0.0011239892448991788,0.9124792428515183,0.002910390292592787,0.003188931133339591,1.0081826295695413,0.0005924358819922382,0.0002752287928949424
0.79,9.48,0.0012199178720995827,0.9121388105851467,0.0028369355530937844,0.003109621304768039,1.0080342286024842,0.0005900502218925782,0.00027389896058217875
0.7999999999999999,9.6,0.0013426043859339244,0.9118058692767302,0.002774510903473212,0.0030423191721983133,1.0079120045304386,0.0005878698058144087,0.0002727287062558439
0.8099999999999999,9.719999999999999,0.001491564598782239,0.9114791334154069,0.002722798844361036,0.002986695847865072,1.0078163105622244,0.0005859041390742832,0.00027171546007832094
0.82,9.84,0.0016662106327378634,0.911157349175774,0.0026815353302694417,0.002942479626352097,1.0077473983692378,0.0005841615041538408,0.0002708575190771297
0.83,9.959999999999999,0.0018658532396929536,0.9108392877142855,0.0026505121790695546,0.002909458944467399,1.0077054195649233,0.0005826489534148359,0.0002701541403168728
0.84,10.08,0.0020897045214858913,0.9105237382377634,0.0026295789710160254,0.002887484768119511,1.0076904274522789,0.0005813723109999561,0.00026960560241186775
0.85,10.2,0.002336881039375363,0.9102095008976252,0.0026186445011518685,0.0028764724791822006,1.007702378983266,0.0005803361823600464,0.00026921323470578364
0.86,10.32,0.002606407300569477,0.9098953795581922,0.002617677828610663,0.0028764033135735777,1.0077411368779852,0.0005795439698739923,0.0002689794140906533
0.87,10.44,0.0028972196080501193,0.9095801744848653,0.002626708944389888,0.002887325377724705,1.0078064718564328,0.0005789978931088092,0.0002689075300479334
0.8799999999999999,10.559999999999999,0.0032081702584991776,0.9092626749981556,0.002645829055915584,0.0029093542452445177,1.0078980649414744,0.0005786990123970006,0.0002690019190598375
0.89,10.68,0.0035380320717591724,0.90894165214266,0.002675190462464958,0.0029426731092088722,1.0080155097981323,0.0005786472545778481,0.0002692677700536524
0.8999999999999999,10.799999999999999,0.0038855032339526864,0.9086158514261875,0.0027150059706017977,0.0029875324377374624,1.0081583150811926,0.0005788414399505011,0.0002697110030012331
0.91,10.92,0.0042492124351470205,0.9082839856933522,0.0027655477736252833,0.0030442490531203655,1.0083259067703751,0.0005792793097110944,0.00027033812319858833
0.9199999999999999,11.04,0.004627724281287987,0.907944728210052,0.0028271456941695475,0.003113204526949287,1.0085176304796624,0.000579957553385182,0.0002711560540963456
0.93,11.16,0.005019544959044489,0.907596706050226,0.00290018466521369,0.003194842757109058,1.0087327537347144,0.0005808718360123961,0.00027217195184217954
0.94,11.28,0.005423128131207249,0.9072384938938944,0.0029851013027634827,0.003289666567653185,1.008970468219516,0.0005820168250844103,0.00027339300493310387
0.9500000000000001,11.4,0.005836881039375373,0.9068686083653583,0.003082379404468295,0.0033982331510015377,1.0092298920003269,0.0005833862174722714,0.0002748262225614395
0.96,11.52,0.006259170789846019,0.9064855030621018,0.0031925441938050764,0.0035211481543339527,1.0095100717415337,0.0005849727667973098,0.0002764782153758478
0.9699999999999999,11.639999999999999,0.006688330797899928,0.906087564447606,0.0033161551207986947,0.0036590582013156883,1.0098099849340267,0.0005867683118936705,0.0002783549724704223
0.98,11.76,0.007122667365049868,0.9056731088040825,0.0034537970293649287,0.0038126416370546103,1.010128542162129,0.0005887638071726468,0.00028046163846218023
0.9899999999999999,11.879999999999999,0.007560466363294801,0.9052403804628566,0.0036060695102143113,0.003982597291614533,1.0104645894397548,0.0005909493558223049,0.0002828022945214498
1.0,12.0,0.007999999999999998,0.9047875515493957,0.003773574278841659,0.004169631076768218,1.0108169106502622,0.0005933142468535282,0.00028537974718077753
