cells,charge_rate_model,initial,time_model,L1_marginal_error,L1_charge_disequilibrium,probability_mass_error,minimum_probability,generator_column_sum_max_abs,stationary_residual,detailed_balance_residual
48,30.0,all_sector_0,1.0,0.010296483137544235,0.003698803077837507,1.199040866595169e-14,9.481339060323075e-07,2.9178048865929895e-14,1.910797908788453e-15,8.881784197001252e-16
48,300.0,local_charge_equilibrium,0.03,0.0006264575483506283,0.0043779422417764904,4.440892098500626e-16,4.003241090088659e-15,1.1368683772161603e-13,2.6645352591003757e-15,1.3322676295501878e-15
48,300.0,local_charge_equilibrium,0.3,0.000999474937231342,0.001390363286645465,1.176836406102666e-14,5.228087561825867e-10,1.1368683772161603e-13,2.6645352591003757e-15,1.3322676295501878e-15
48,300.0,local_charge_equilibrium,1.0,0.0005909614777417601,0.00036414683981535564,3.885780586188048e-14,6.698634608030375e-07,1.1368683772161603e-13,2.6645352591003757e-15,1.3322676295501878e-15
48,300.0,all_sector_0,0.03,0.0039037353248642702,0.0043521952246572725,2.220446049250313e-16,7.662202291903944e-15,1.1368683772161603e-13,2.6645352591003757e-15,1.3322676295501878e-15
48,300.0,all_sector_0,0.3,0.001735926344947705,0.0013879754412607968,1.176836406102666e-14,5.6072684125943e-10,1.1368683772161603e-13,2.6645352591003757e-15,1.3322676295501878e-15
48,300.0,all_sector_0,1.0,0.0010296792355045574,0.00036388478133485817,3.863576125695545e-14,6.714818871422e-07,1.1368683772161603e-13,2.6645352591003757e-15,1.3322676295501878e-15
48,3000.0,local_charge_equilibrium,0.03,6.953949081161059e-05,0.0004356640300728122,4.440892098500626e-15,1.456797181410577e-15,9.094947017729282e-13,1.9539925233402755e-14,1.7763568394002505e-14
48,3000.0,local_charge_equilibrium,0.3,0.0001009639944734381,0.0001385823054930728,3.952393967665557e-14,3.9610690973112135e-10,9.094947017729282e-13,1.9539925233402755e-14,1.7763568394002505e-14
48,3000.0,local_charge_equilibrium,1.0,5.9295553630371826e-05,3.63607476105941e-05,1.0347278589506459e-13,6.472710704115687e-07,9.094947017729282e-13,1.9539925233402755e-14,1.7763568394002505e-14
48,3000.0,all_sector_0,0.03,0.0003875571311877115,0.0004355093986482011,4.6629367034256575e-15,1.5488041774027891e-15,9.094947017729282e-13,1.9539925233402755e-14,1.7763568394002505e-14
48,3000.0,all_sector_0,0.3,0.00017368516370878487,0.0001385588808905796,3.9745984281580604e-14,3.9915049909284246e-10,9.094947017729282e-13,1.9539925233402755e-14,1.7763568394002505e-14
48,3000.0,all_sector_0,1.0,0.0001029567513650987,3.635815775637228e-05,1.0347278589506459e-13,6.474344580426749e-07,9.094947017729282e-13,1.9539925233402755e-14,1.7763568394002505e-14
48,30000.0,local_charge_equilibrium,0.03,7.022500976802143e-06,4.354292202186194e-05,6.261657858885883e-14,1.3486025027770807e-15,4.977351863999502e-12,1.794120407794253e-13,1.4210854715202004e-13
48,30000.0,local_charge_equilibrium,0.3,1.0106560090008643e-05,1.3853583509878966e-05,6.266098750984384e-13,3.8575251318463026e-10,4.977351863999502e-12,1.794120407794253e-13,1.4210854715202004e-13
48,30000.0,local_charge_equilibrium,1.0,5.9315449181377745e-06,3.635522487406782e-06,2.0834445280115688e-12,6.450604057376288e-07,4.977351863999502e-12,1.794120407794253e-13,1.4210854715202004e-13
48,30000.0,all_sector_0,0.03,3.8728419758405375e-05,4.354138762336121e-05,6.261657858885883e-14,1.3568211030363253e-15,4.977351863999502e-12,1.794120407794253e-13,1.4210854715202004e-13
