model,a_over_h,component,force_MPa,Haa_eV_L0sq,energy_eV_cell
shape_refinement/old_family,80.0,angular_rank3_quartic,3.624816857239114e-179,-3.0764936045850304e-182,0.0016850358538690285
joint_refinement/power_family,2.5,pair_6,-0.18183527727154228,0.00012207368770047545,-0.023776511758171276
joint_refinement/power_family,2.5,pair_3,140.6487581478827,-0.036054181686565136,0.21558173029825667
joint_refinement/power_family,2.5,embedding,933.6993247432288,-0.23814805453739973,0.1809628946910231
joint_refinement/power_family,2.5,angular_3,27.995942852283402,-0.01028251582917147,0.01679753953649869
joint_refinement/power_family,2.5,angular_1,222.705786439144,-0.07307454077598297,0.3519255082113971
joint_refinement/power_family,2.5,angular_2,0.0014391006803312167,-1.8910232584412812e-06,0.005376562988848096
joint_refinement/power_family,2.5,angular_Eg_radial,0.17324672817721273,-0.00011331753531820654,0.01428011997081598
joint_refinement/power_family,2.5,angular_rank3_quartic,9.706052648992046,-0.0032105185546304317,0.00264677522884556
joint_refinement/power_family,3.0,pair_6,-0.025538574802947158,1.4198018876083051e-05,-0.02378051960369069
joint_refinement/power_family,3.0,pair_3,67.2638361640879,-0.01384272766479474,0.22066913384186235
joint_refinement/power_family,3.0,embedding,389.0062913184516,-0.11101688260928366,0.21346498322532748
joint_refinement/power_family,3.0,angular_3,6.191989898817209,-0.003310236603364548,0.017579466717784265
joint_refinement/power_family,3.0,angular_1,82.0985287806006,-0.02477086334131565,0.35917805925234386
joint_refinement/power_family,3.0,angular_2,1.955756109600572e-05,-2.6519704293496863e-08,0.005376580260760829
joint_refinement/power_family,3.0,angular_Eg_radial,0.020647132157468686,-1.3818770635469374e-05,0.014283852354529392
joint_refinement/power_family,3.0,angular_rank3_quartic,2.282849505804639,-0.001202099246507264,0.0029264065853715658
joint_refinement/power_family,4.0,pair_6,-0.0011976772009521781,4.904434152571455e-07,-0.023781289098603338
joint_refinement/power_family,4.0,pair_3,22.162433218233208,-0.0032333158545518096,0.22474975776866238
joint_refinement/power_family,4.0,embedding,56.93437559226377,-0.017528654487518825,0.23158286919735005
