observable,role,validation_status,target,prediction,units,scale,normalized_residual
v17_direct047_Haa,heldout,retrospective,35.337517734960244,49.78477632035248,eV/L0^2,3.5337517734960247,4.088362599136163
v17_direct047_Hxx,heldout,retrospective,-7.290154929569364,-7.462085767958413,eV/L0^2,0.7290154929569365,-0.2358397593056442
v17_off_plus_energy,heldout,retrospective,0.08014986299727256,0.08929009482465446,eV/cell,0.008014986299727257,1.1403926950808303
v17_off_plus_normal_force,heldout,retrospective,0.496288954541943,0.6181736138832338,eV/L0,0.03173805605024358,3.8403315927207
v17_off_plus_Haa,heldout,retrospective,13.145916399036436,13.628701811402056,eV/L0^2,1.3145916399036437,0.36725124191494746
v17_off_plus_Hxx,heldout,retrospective,0.5867789207029961,0.2611116106584695,eV/L0^2,0.1,-3.2566731004452656
v17_off_minus_energy,heldout,retrospective,0.21284911087573022,0.22473297327241887,eV/cell,0.021284911087573022,0.5583233280982283
v17_off_minus_normal_force,heldout,retrospective,0.06702268289699899,0.09130973000966203,eV/L0,0.03173805605024358,0.7652342372265941
v17_off_minus_Haa,heldout,retrospective,11.464221151869252,13.689276611467553,eV/L0^2,1.1464221151869252,1.940869275044912
v17_off_minus_Hxx,heldout,retrospective,-2.835312235036081,-2.9345297678036513,eV/L0^2,0.2835312235036081,-0.34993512016607864
v17_shockley067_energy,heldout,retrospective,0.07506981596967024,0.08694313124248948,eV/cell,0.007506981596967025,1.5816363899994506
v17_shockley067_normal_force,heldout,retrospective,-0.08375074170661885,-0.0011209638710882874,eV/L0,0.03173805605024358,2.6034920886371173
v17_shockley067_Haa,heldout,retrospective,14.560238367523052,24.07149160991388,eV/L0^2,1.4560238367523053,6.532347206351991
v17_shockley067_Hxx,heldout,retrospective,0.4530475235373633,-0.1995602583127292,eV/L0^2,0.1,-6.526077818500925
v17_compression_energy,heldout,retrospective,0.025317916775100896,0.026277327380017354,eV/cell,0.004433026104653031,0.2164234052015695
v17_compression_normal_force,heldout,retrospective,-0.6769543589544016,-0.7974991062425507,eV/L0,0.03173805605024358,-3.7981137564732474
v17_compression_Haa,heldout,retrospective,26.962376342241654,29.168499211806612,eV/L0^2,2.6962376342241656,0.8182227121088913
v17_compression_Hxx,heldout,retrospective,5.568444170552721,3.240107229765999,eV/L0^2,0.5568444170552721,-4.181306069475438
v17_opening1.045_energy,heldout,retrospective,0.012439540042104347,0.014454339776980374,eV/cell,0.004433026104653031,0.4544976021596706
v17_opening1.045_normal_force,heldout,retrospective,0.6560493060873362,0.7072436402597698,eV/L0,0.03173805605024358,1.6130267742734254
v17_opening1.045_Haa,heldout,retrospective,16.173163667497242,15.24247991235875,eV/L0^2,1.6173163667497243,-0.5754494137772571
v17_opening1.045_Hxx,heldout,retrospective,3.5468340021412335,2.6526119851250693,eV/L0^2,0.35468340021412337,-2.521183727449099
v17_opening1.255_energy,heldout,retrospective,0.2548812728796389,0.2205803077863494,eV/cell,0.02548812728796389,-1.3457624683743339
v17_opening1.255_normal_force,heldout,retrospective,1.5479287243761108,1.234318493142861,eV/L0,0.03173805605024358,-9.88120478257341
v17_opening1.255_Haa,heldout,retrospective,-3.07660296796585,-1.8698412773372706,eV/L0^2,0.307660296796585,3.922383561329173
v17_opening1.255_Hxx,heldout,retrospective,-0.8591645505462155,0.666470172018425,eV/L0^2,0.1,15.256347225646405
v17_opening1.555_energy,heldout,retrospective,0.4970497627048889,0.45859487807122484,eV/cell,0.04970497627048889,-0.7736626695966391
v17_opening1.555_normal_force,heldout,retrospective,0.5361595264738468,0.7422603510644701,eV/L0,0.03173805605024358,6.493807442533694
v17_opening1.555_Haa,heldout,retrospective,-0.9598397042596563,-1.4613066293567767,eV/L0^2,0.1,-5.014669250971204
v17_opening1.555_Hxx,heldout,retrospective,-0.8905810007935903,0.062059234176988255,eV/L0^2,0.1,9.526402349705783
v17_opening1.855_energy,heldout,retrospective,0.6331364785570511,0.6045557077554019,eV/cell,0.06331364785570512,-0.4514156389596472
v17_opening1.855_normal_force,heldout,retrospective,0.6294361584094642,0.4737401582637465,eV/L0,0.03173805605024358,-4.905656474336046
v17_opening1.855_Haa,heldout,retrospective,0.33758173393615254,-0.8478561580331406,eV/L0^2,0.1,-11.85437891969293
v17_opening1.855_Hxx,heldout,retrospective,-0.0764657682265532,0.002545285453242729,eV/L0^2,0.1,0.7901105367979592
v17_opening2.455_energy,heldout,retrospective,0.7722611869157332,0.7569787553675901,eV/cell,0.07722611869157332,-0.1978920060605182
v17_opening2.455_normal_force,heldout,retrospective,-0.03892592855831557,0.18628038632181915,eV/L0,0.03173805605024358,7.09578162328585
v17_opening2.455_Haa,heldout,retrospective,1.5212189106347462,-0.3772317797385141,eV/L0^2,0.15212189106347462,-12.479799436499968
v17_opening2.455_Hxx,heldout,retrospective,0.04446583977668427,-6.639214452966943e-05,eV/L0^2,0.1,-0.44532231921213944
