run,observable,role,units,target,prediction,scale,normalized_residual
nested_range,v17_near_1.095_normal_force,fit,eV/L0,1.2303804278835464,1.1973549760019173,0.03173805605024358,-1.0405631595503981
nested_range,v17_near_1.095_Haa,fit,eV/L0^2,11.545874277606002,4.6263133920669315,1.1545874277606003,-5.99310257427627
nested_range,v17_direct023_energy,heldout,eV/cell,0.10138618519039871,0.09059565662267707,0.010138618519039872,-1.064299692059378
nested_range,v17_direct023_normal_force,heldout,eV/L0,-0.8610948380753036,-0.773210926345588,0.03173805605024358,2.769038897359978
nested_range,v17_direct023_Haa,heldout,eV/L0^2,29.67272464413389,32.489900653373226,2.967272464413389,0.9494160185914287
nested_range,v17_direct023_Hxx,heldout,eV/L0^2,1.5318476269016676,3.166634428616783,0.1531847626901668,10.671993565193253
nested_range,v17_direct047_energy,heldout,eV/cell,0.26395051027571553,0.26869833070854793,0.026395051027571555,0.17987540269851912
nested_range,v17_direct047_normal_force,heldout,eV/L0,-2.2580600813748397,-2.3109766870934116,0.03173805605024358,-1.667291961259417
nested_range,v17_direct047_Haa,heldout,eV/L0^2,35.337517734960244,50.43116673012884,3.5337517734960247,4.271281618696179
nested_range,v17_direct047_Hxx,heldout,eV/L0^2,-7.290154929569364,-7.549606777810727,0.7290154929569365,-0.3558934628247864
nested_range,v17_off_plus_energy,heldout,eV/cell,0.08014986299727256,0.08948357457178341,0.008014986299727257,1.1645324427851447
nested_range,v17_off_plus_normal_force,heldout,eV/L0,0.496288954541943,0.6201967933586838,0.03173805605024358,3.904077761428929
nested_range,v17_off_plus_Haa,heldout,eV/L0^2,13.145916399036436,13.822247817907837,1.3145916399036437,0.51448023731611
nested_range,v17_off_plus_Hxx,heldout,eV/L0^2,0.5867789207029961,0.28209512724870756,0.1,-3.0468379345428853
nested_range,v17_off_minus_energy,heldout,eV/cell,0.21284911087573022,0.2292775607454584,0.021284911087573022,0.7718354942680391
nested_range,v17_off_minus_normal_force,heldout,eV/L0,0.06702268289699899,0.09250618858846282,0.03173805605024358,0.8029321534728419
nested_range,v17_off_minus_Haa,heldout,eV/L0^2,11.464221151869252,13.732420870030676,1.1464221151869252,1.9785031081606381
nested_range,v17_off_minus_Hxx,heldout,eV/L0^2,-2.835312235036081,-3.062864870703613,0.2835312235036081,-0.8025664082271221
nested_range,v17_shockley067_energy,heldout,eV/cell,0.07506981596967024,0.08715336787117346,0.007506981596967025,1.609641870760043
nested_range,v17_shockley067_normal_force,heldout,eV/L0,-0.08375074170661885,-0.00027908424751671435,0.03173805605024358,2.630017960991707
nested_range,v17_shockley067_Haa,heldout,eV/L0^2,14.560238367523052,24.159483125018973,1.4560238367523053,6.592779949885475
nested_range,v17_shockley067_Hxx,heldout,eV/L0^2,0.4530475235373633,-0.19090024574718054,0.1,-6.439477692845437
nested_range,v17_compression_energy,heldout,eV/cell,0.025317916775100896,0.026716079961134176,0.004433026104653031,0.315397011663371
nested_range,v17_compression_normal_force,heldout,eV/L0,-0.6769543589544016,-0.8016596511932832,0.03173805605024358,-3.929203856766285
nested_range,v17_compression_Haa,heldout,eV/L0^2,26.962376342241654,28.139538714279727,2.6962376342241656,0.43659444445696916
nested_range,v17_compression_Hxx,heldout,eV/L0^2,5.568444170552721,3.1498385893327896,0.5568444170552721,-4.343413540913461
nested_range,v17_opening1.045_energy,heldout,eV/cell,0.012439540042104347,0.014207291970207876,0.004433026104653031,0.3987686709645239
nested_range,v17_opening1.045_normal_force,heldout,eV/L0,0.6560493060873362,0.6935927157192613,0.03173805605024358,1.182914592263974
nested_range,v17_opening1.045_Haa,heldout,eV/L0^2,16.173163667497242,14.782740040151165,1.6173163667497243,-0.8597103547158019
nested_range,v17_opening1.045_Hxx,heldout,eV/L0^2,3.5468340021412335,2.5985301679318558,0.35468340021412337,-2.673662859995376
nested_range,v17_opening1.255_energy,heldout,eV/cell,0.2548812728796389,0.22096999209997184,0.02548812728796389,-1.330473612146499
nested_range,v17_opening1.255_normal_force,heldout,eV/L0,1.5479287243761108,1.2451747992793605,0.03173805605024358,-9.539145202134295
nested_range,v17_opening1.255_Haa,heldout,eV/L0^2,-3.07660296796585,-1.8662230741846875,0.307660296796585,3.934143945071425
nested_range,v17_opening1.255_Hxx,heldout,eV/L0^2,-0.8591645505462155,0.7019023781990892,0.1,15.610669287453046
nested_range,v17_opening1.555_energy,heldout,eV/cell,0.4970497627048889,0.4584428400258478,0.04970497627048889,-0.7767214789309335
nested_range,v17_opening1.555_normal_force,heldout,eV/L0,0.5361595264738468,0.7225151250805529,0.03173805605024358,5.871676523341319
nested_range,v17_opening1.555_Haa,heldout,eV/L0^2,-0.9598397042596563,-1.5910780159514304,0.1,-6.312383116917741
nested_range,v17_opening1.555_Hxx,heldout,eV/L0^2,-0.8905810007935903,0.06407001210746008,0.1,9.546510129010503
nested_range,v17_opening1.855_energy,heldout,eV/cell,0.6331364785570511,0.5970849386218987,0.06331364785570512,-0.5694118275622917
nested_range,v17_opening1.855_normal_force,heldout,eV/L0,0.6294361584094642,0.439642839149046,0.03173805605024358,-5.97999193649296
nested_range,v17_opening1.855_Haa,heldout,eV/L0^2,0.33758173393615254,-0.8369685027495626,0.1,-11.74550236685715
nested_range,v17_opening1.855_Hxx,heldout,eV/L0^2,-0.0764657682265532,0.0016869121660201378,0.1,0.7815268039257334
