source_frame,atoms,observed_group,Si_without_O_neighbors,Si_with_1_to_3_O_neighbors,Si_with_4_or_more_O_neighbors,Si_with_H_neighbors
466,216,Si_O_vacuum0,0,3,69,0
467,216,Si_O_vacuum0,0,2,70,0
468,216,Si_O_vacuum0,0,2,70,0
469,216,Si_O_vacuum0,0,1,71,0
470,216,Si_O_vacuum0,0,0,72,0
471,216,Si_O_vacuum0,0,1,71,0
472,216,Si_O_vacuum0,0,0,72,0
473,216,Si_O_vacuum0,0,3,69,0
474,216,Si_O_vacuum0,0,0,72,0
475,216,Si_O_vacuum0,0,0,72,0
476,216,Si_O_vacuum0,0,0,72,0
477,216,Si_O_vacuum0,0,0,72,0
478,216,Si_O_vacuum0,0,1,71,0
479,216,Si_O_vacuum0,0,1,71,0
480,216,Si_O_vacuum0,0,0,72,0
481,216,Si_O_vacuum0,0,0,72,0
482,216,Si_O_vacuum0,0,0,72,0
483,216,Si_O_vacuum0,0,0,72,0
484,216,Si_O_vacuum0,0,0,72,0
485,216,Si_O_vacuum0,0,0,72,0
486,216,Si_O_vacuum0,0,0,72,0
487,216,Si_O_vacuum0,0,0,72,0
488,216,Si_O_vacuum0,0,0,72,0
489,216,Si_O_vacuum0,0,0,72,0
490,216,Si_O_vacuum0,0,0,72,0
491,216,Si_O_vacuum0,0,0,72,0
492,216,Si_O_vacuum0,0,0,72,0
493,216,Si_O_vacuum0,0,0,72,0
494,216,Si_O_vacuum0,0,0,72,0
495,216,Si_O_vacuum0,0,0,72,0
496,216,Si_O_vacuum0,0,0,72,0
497,224,Si_H_vacuum1,192,0,0,16
498,224,Si_H_vacuum1,192,0,0,16
499,224,Si_H_vacuum1,192,0,0,16
500,224,Si_H_vacuum1,192,0,0,16
501,224,Si_H_vacuum1,192,0,0,16
502,224,Si_H_vacuum1,192,0,0,16
503,224,Si_H_vacuum1,192,0,0,16
504,224,Si_H_vacuum1,192,0,0,16
505,224,Si_H_vacuum1,192,0,0,16
506,224,Si_H_vacuum1,192,0,0,16
507,224,Si_H_vacuum1,192,0,0,16
508,224,Si_H_vacuum1,192,0,0,16
509,224,Si_H_vacuum1,192,0,0,16
510,224,Si_H_vacuum1,192,0,0,16
511,224,Si_H_vacuum1,192,0,0,16
512,224,Si_H_vacuum1,192,0,0,16
513,224,Si_H_vacuum1,192,0,0,16
514,224,Si_H_vacuum1,192,0,0,16
515,224,Si_H_vacuum1,192,0,0,16
516,224,Si_H_vacuum1,192,0,0,16
517,224,Si_H_vacuum1,192,0,0,16
518,224,Si_H_vacuum1,192,0,0,16
519,224,Si_H_vacuum1,192,0,0,16
520,224,Si_H_vacuum1,192,0,0,16
521,224,Si_H_vacuum1,192,0,0,16
522,224,Si_H_vacuum1,192,0,0,16
523,224,Si_H_vacuum1,192,0,0,16
524,224,Si_H_vacuum1,192,0,0,16
525,224,Si_H_vacuum1,192,0,0,16
