observable,role,target,scale,units,u,v,A,B,C,D3,D1,D2,D_Eg,K3
new_opening_5.5h_normal_force,fit,0.0,0.03173805605024358,eV/L0,-7.128828286049789e-07,0.017441073049536394,0.00011933970254145515,-0.00020163156728141945,0.00011304499861520113,2.568884181386676e-10,2.2456145349327752e-08,1.2861250946917493e-16,4.7630667551778995e-11,1.52616081161714e-13
v16_direct011_energy,fit,0.025339211626875774,0.004433026104653031,eV/cell,0.29433378356481726,-0.05327140240438195,-0.00022737633997693685,0.0004547783632933289,1.0274499806229061e-07,0.0004687643542164859,6.14527053783444e-05,0.001746081560900178,0.00497071194542273,1.098666975855981e-07
v16_direct011_normal_force,fit,-0.1684646879274777,0.03173805605024358,eV/L0,-33.90658187675546,18.23455753668748,0.772662016294258,-1.5454679611177216,-0.0005758119214680843,-0.0027354150201332568,-0.006576347269890738,-0.039683246878244656,-0.14588080686436336,-1.2818156020128148e-06
v16_direct011_Haa,fit,23.17866876533168,2.317866876533168,eV/L0^2,362.4292243520925,-90.08892380384299,-1.1810157180809977,2.7793823700145133,1.6699517072122443,0.1339507810977126,2.2199507518926818,1.1373128475996352,6.68279597557585,6.979530979046656e-05
v16_direct031_energy,fit,0.16617323878813156,0.016617323878813157,eV/cell,2.017480204267187,-0.33347595704631844,-0.0013694429743513759,0.0027398176502568816,3.7293502749015553e-06,0.0027505334248541648,0.0006198368568149717,0.006245309014968656,0.017835252992103964,3.7825976394882107e-06
v16_direct031_normal_force,fit,-1.4977500080753077,0.03173805605024358,eV/L0,-59.72171613487448,21.113304179190195,0.7799167325469849,-1.5607102085733449,-0.003510563019062078,-0.01539323236367304,-0.04340180341046623,-0.05442411467326085,-0.10656649018080153,-4.2323823604893386e-05
v16_direct031_Haa,fit,34.460781638400974,3.4460781638400975,eV/L0^2,762.1957638254473,-120.37829046334032,-1.2250294384031721,2.8776950844759197,1.7139261054072163,0.1627207831085353,2.789162753445853,-0.6604490647462093,-1.7172879195804907,0.0006813456713467095
v16_raised043_energy,fit,0.1726273519698645,0.017262735196986453,eV/cell,-0.5390502739806357,0.8751057088526282,0.052358720116738366,-0.10375914008671838,0.0037534904941554977,0.0026187098084240216,0.0031655697385618085,0.0026934933694560776,0.013140021694771914,3.423966248086636e-06
v16_raised043_normal_force,fit,-0.17083895700384927,0.03173805605024358,eV/L0,-28.877413058677487,14.808262524011496,0.6947416832913474,-1.3637968017074957,0.09954111186143134,-0.012467298437405341,0.10197771813410714,-0.049947348201396145,0.007563949920634009,-3.275140103361873e-05
v16_raised043_Haa,fit,18.238440853611248,1.8238440853611249,eV/L0^2,361.36193587504357,-81.2125319130218,-1.1651211330048026,2.6340412492634138,1.1344250841918426,0.07422032751999566,1.5144807010615975,1.3838006626638402,5.602228748572473,0.0003496684595572228
v16_off_plus_energy,fit,0.0652424878354941,0.006524248783549411,eV/cell,0.009208381795895419,0.23343869095535233,0.01498294753750784,-0.029888215138846652,0.00030887843007384574,0.00133361285884788,0.00025430842051516297,0.002160761428586462,0.008385594732990241,8.890690240746987e-07
v16_off_plus_normal_force,fit,-0.08042066717244803,0.03173805605024358,eV/L0,-32.04556763310355,17.1647313571265,0.7506999081472869,-1.493555146765127,0.03109946865893412,-0.0061793286324218055,0.028473215196739777,-0.04422681397395668,-0.042613532259278566,-8.25961723556653e-06
